protein1,protein2,interaction
Q16665,Q09472,1
A8MRB1,H2EHT1,0
A8MRB1,H2EHT1,1
A8MRB1,Q09472,0
P20701,A0A1C9J7T1,1
Q16665,Q09472,0
P55209,Q9UNS8,1
Q16665,H2EHT1,0
O14786,P15692,1
A8MRB1,H2EHT1,0
P27540,B3KW07,1
Q16665,Q09472,0
P62166,E9PMP0,1
A8MRB1,Q09472,0
F5GYA9,Q5NUL3,1
Q16665,Q09472,0
P07355,P60903,1
A8MRB1,Q09472,0
Q96CV9,Q6WZM0,1
Q16665,Q09472,0
A0A0S2Z5D6,Q00G26,1
Q16665,H2EHT1,0
I4AY87,AF-E7EQJ3-F1-model_v4,1
A8MRB1,Q09472,0
M4PPE6,Q14397,1
Q16665,Q09472,0
Q6WZM0,P17948,1
Q16665,Q09472,0
F5H6V7,P01374,1
Q16665,H2EHT1,0
P63000,A0A1B0GW57,1
Q16665,H2EHT1,0
P20701,E7ESS4,1
A8MRB1,Q09472,0
M4PS83,Q14397,1
A8MRB1,H2EHT1,0
Q0VDC5,Q5W0X3,1
A8MRB1,Q09472,0
A0A804HJ06,C9K0N6,1
A8MRB1,H2EHT1,0
Q5VV67,Q15788,1
Q16665,Q09472,0
A0A3G1LBH1,Q8NIA3,1
A8MRB1,Q09472,0
D0VY79,Q09472,1
A8MRB1,H2EHT1,0
P19438,P01374,1
A8MRB1,H2EHT1,0
A4D2P2,Q13009,1
A8MRB1,H2EHT1,0
P19438,P01374,1
A8MRB1,Q09472,0
K7PPA8,O15151,1
A8MRB1,Q09472,0
Q86YN6,Q15788,1
A8MRB1,H2EHT1,0
Q5VV67,B5MCN7,1
Q16665,H2EHT1,0
H9KVB1,Q13951,1
Q16665,H2EHT1,0
P78545,Q9ULK4,1
A8MRB1,Q09472,0
E9PFV2,B5MCN7,1
Q16665,H2EHT1,0
E9PNT5,A0A248X3X9,1
A8MRB1,Q09472,0
P62166,Q9NPQ8,1
A8MRB1,H2EHT1,0
H0YM16,Q8WTS1,1
Q16665,H2EHT1,0
G3V4K2,Q8NIA3,1
A8MRB1,H2EHT1,0
A0A0S2Z4T3,Q05655,1
A8MRB1,H2EHT1,0
I4AY87,AF-E7EQJ3-F1-model_v4,1
A8MRB1,H2EHT1,0
A8MYV6,Q09472,1
A8MRB1,H2EHT1,0
G3V5T7,Q07889,1
A8MRB1,Q09472,0
Q1JUQ5,Q5W0X3,1
A8MRB1,Q09472,0
I4AY87,AF-P04233-F1-model_v4,1
A8MRB1,Q09472,0
O75475,AF-A0A0M3KKW8-F1-model_v4,1
Q16665,H2EHT1,0
Q9HBZ2,B3KW07,1
A8MRB1,H2EHT1,0
B3KUF4,A1ECB6,1
Q16665,H2EHT1,0
A0A0S2Z5D6,K7EIX1,1
Q16665,Q09472,0
P04637,I6SST9,1
A8MRB1,H2EHT1,0
P62942,P62942,1
Q16665,Q09472,0
AF-P56273-F1-model_v4,P04637,1
A8MRB1,H2EHT1,0
P62166,E9PLE5,1
A8MRB1,Q09472,0
P20701,P05362,1
Q16665,Q09472,0
K7EJD8,Q16236,1
A8MRB1,H2EHT1,0
Q0VDC5,Q5W0X3,1
Q16665,H2EHT1,0
L8EAN3,Q96LD9,1
Q16665,Q09472,0
P07355,P60903,1
A8MRB1,Q09472,0
A0A4Y5UGE4,Q5NUL3,1
Q16665,H2EHT1,0
Q9UBK2,B4DYT5,1
Q16665,Q09472,0
D0VY79,Q09472,1
A8MRB1,H2EHT1,0
F5H480,Q5NUL3,1
A8MRB1,H2EHT1,0
B7Z5M1,H3BUB4,1
A8MRB1,H2EHT1,0
O14786,P15692,1
A8MRB1,H2EHT1,0
AF-P56273-F1-model_v4,P04637,1
Q16665,H2EHT1,0
AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1
Q16665,H2EHT1,0
O14980,Q9UBZ9,1
Q16665,Q09472,0
O14980,Q9UBZ9,1
Q16665,H2EHT1,0
M0R0H4,Q8NB78,1
Q16665,Q09472,0
P04637,I6SST5,1
A8MRB1,Q09472,0
A8MRB1,P04637,1
Q16665,H2EHT1,0
Q9UMS7,A8MYV6,1
A8MRB1,Q09472,0
P35222,H0YAR8,1
Q16665,H2EHT1,0
P07355,Q6FGE5,1
Q16665,Q09472,0
Q96CV9,Q9UNS8,1
Q16665,Q09472,0
Q13969,Q5NUL3,1
Q16665,Q09472,0
AF-A0A024R8I1-F1-model_v4,A0A0D9SFA9,1
Q16665,H2EHT1,0
P98170,Q9NR28,1
Q16665,H2EHT1,0
P55209,P15692,1
Q16665,H2EHT1,0
Q13671,Q05655,1
Q16665,H2EHT1,0
Q9UMS7,A8MYV6,1
Q16665,H2EHT1,0
A0A3B3IUA8,B7Z8B8,1
A8MRB1,Q09472,0
AF-R6XDM2-F1-model_v4,P04637,1
A8MRB1,Q09472,0
B0LXF2,A1ECD1,1
Q16665,Q09472,0
P07355,P60903,1
A8MRB1,H2EHT1,0
AF-Q5EBM5-F1-model_v4,Q6NXT2,1
Q16665,H2EHT1,0
Q96GG9,M0QX69,1
Q16665,H2EHT1,0
M0R0H4,Q8NB78,1
Q16665,H2EHT1,0
V9GZ59,AF-A0A0S2Z448-F1-model_v4,1
Q16665,H2EHT1,0
P04271,A0A0U1RQC9,1
A8MRB1,H2EHT1,0
E9PFV2,Q9Y6Q9,1
Q16665,Q09472,0
H0YM16,A0A2U3TZT9,1
Q16665,H2EHT1,0
Q8NBP7,Q9UH51,1
A8MRB1,H2EHT1,0
H0YM16,A0A0S2Z572,1
A8MRB1,H2EHT1,0
P78545,B9TX56,1
Q16665,Q09472,0
M4PPE1,Q14397,1
A8MRB1,H2EHT1,0
B3CJ63,G3V2R5,1
Q16665,H2EHT1,0
Q13969,Q5NUL3,1
A8MRB1,Q09472,0
Q05397,B5A927,1
A8MRB1,H2EHT1,0
Q86YN6,H7C1Y3,1
Q16665,H2EHT1,0
AF-Q5EBM5-F1-model_v4,P0DPK2,1
Q16665,Q09472,0
A0A0S2Z4C5,S4R334,1
A8MRB1,H2EHT1,0
B4DSW9,Q8N100,1
Q16665,H2EHT1,0
B3CJ63,Q6V3B1,1
A8MRB1,H2EHT1,0
B4E3L8,H7BZE5,1
Q16665,Q09472,0
S5GGH7,O75475,1
A8MRB1,H2EHT1,0
Q6W2J9,C9JL16,1
Q16665,Q09472,0
AF-A0A024R8I1-F1-model_v4,A0A0G2JMD7,1
A8MRB1,H2EHT1,0
Q13671,A0A023PX70,1
A8MRB1,Q09472,0
P78460,C9K0N6,1
A8MRB1,H2EHT1,0
O75475,AF-A0A0M3KKW8-F1-model_v4,1
Q16665,Q09472,0
B4DG83,E9PAM9,1
Q16665,H2EHT1,0
P04637,I6TZT4,1
Q16665,Q09472,0
U5P039,A0A494C0A9,1
A8MRB1,H2EHT1,0
A4D2P1,A0A1B0GW57,1
A8MRB1,Q09472,0
A0A087WTR9,P04637,1
Q16665,H2EHT1,0
Q14901,Q8IYC6,1
A8MRB1,Q09472,0
P37231,B4DL21,1
A8MRB1,Q09472,0
B1AKU3,Q9NR28,1
Q16665,H2EHT1,0
A0A0S2Z4C5,A0A0U1RQC9,1
Q16665,H2EHT1,0
B2R6I9,A8K719,1
A8MRB1,Q09472,0
A1A564,A0N7C7,1
