protein,fp_path,adj_path,mpnn_path,pdb_path
E9PNT5,protein_fingerprints/fingerprint/E9PNT5.npy,protein_fingerprints/adj/E9PNT5.npy,protein_mpnn/E9PNT5.npz,protein_pdbs/E9PNT5.pdb
P33681,protein_fingerprints/fingerprint/P33681.npy,protein_fingerprints/adj/P33681.npy,protein_mpnn/P33681.npz,protein_pdbs/P33681.pdb
P03971,protein_fingerprints/fingerprint/P03971.npy,protein_fingerprints/adj/P03971.npy,protein_mpnn/P03971.npz,protein_pdbs/P03971.pdb
Q01196,protein_fingerprints/fingerprint/Q01196.npy,protein_fingerprints/adj/Q01196.npy,protein_mpnn/Q01196.npz,protein_pdbs/Q01196.pdb
P60568,protein_fingerprints/fingerprint/P60568.npy,protein_fingerprints/adj/P60568.npy,protein_mpnn/P60568.npz,protein_pdbs/P60568.pdb
Q13009,protein_fingerprints/fingerprint/Q13009.npy,protein_fingerprints/adj/Q13009.npy,protein_mpnn/Q13009.npz,protein_pdbs/Q13009.pdb
P40337,protein_fingerprints/fingerprint/P40337.npy,protein_fingerprints/adj/P40337.npy,protein_mpnn/P40337.npz,protein_pdbs/P40337.pdb
Q0GK43,protein_fingerprints/fingerprint/Q0GK43.npy,protein_fingerprints/adj/Q0GK43.npy,protein_mpnn/Q0GK43.npz,protein_pdbs/Q0GK43.pdb
Q9UMS8,protein_fingerprints/fingerprint/Q9UMS8.npy,protein_fingerprints/adj/Q9UMS8.npy,protein_mpnn/Q9UMS8.npz,protein_pdbs/Q9UMS8.pdb
Q96GG9,protein_fingerprints/fingerprint/Q96GG9.npy,protein_fingerprints/adj/Q96GG9.npy,protein_mpnn/Q96GG9.npz,protein_pdbs/Q96GG9.pdb
P14174,protein_fingerprints/fingerprint/P14174.npy,protein_fingerprints/adj/P14174.npy,protein_mpnn/P14174.npz,protein_pdbs/P14174.pdb
Q13169,protein_fingerprints/fingerprint/Q13169.npy,protein_fingerprints/adj/Q13169.npy,protein_mpnn/Q13169.npz,protein_pdbs/Q13169.pdb
A0A2R8Y750,protein_fingerprints/fingerprint/A0A2R8Y750.npy,protein_fingerprints/adj/A0A2R8Y750.npy,protein_mpnn/A0A2R8Y750.npz,protein_pdbs/A0A2R8Y750.pdb
Q9Y6P1,protein_fingerprints/fingerprint/Q9Y6P1.npy,protein_fingerprints/adj/Q9Y6P1.npy,protein_mpnn/Q9Y6P1.npz,protein_pdbs/Q9Y6P1.pdb
P27540,protein_fingerprints/fingerprint/P27540.npy,protein_fingerprints/adj/P27540.npy,protein_mpnn/P27540.npz,protein_pdbs/P27540.pdb
O14788,protein_fingerprints/fingerprint/O14788.npy,protein_fingerprints/adj/O14788.npy,protein_mpnn/O14788.npz,protein_pdbs/O14788.pdb
Q9UBZ9,protein_fingerprints/fingerprint/Q9UBZ9.npy,protein_fingerprints/adj/Q9UBZ9.npy,protein_mpnn/Q9UBZ9.npz,protein_pdbs/Q9UBZ9.pdb
Q53TG3,protein_fingerprints/fingerprint/Q53TG3.npy,protein_fingerprints/adj/Q53TG3.npy,protein_mpnn/Q53TG3.npz,protein_pdbs/Q53TG3.pdb
A1ECB1,protein_fingerprints/fingerprint/A1ECB1.npy,protein_fingerprints/adj/A1ECB1.npy,protein_mpnn/A1ECB1.npz,protein_pdbs/A1ECB1.pdb
U5P039,protein_fingerprints/fingerprint/U5P039.npy,protein_fingerprints/adj/U5P039.npy,protein_mpnn/U5P039.npz,protein_pdbs/U5P039.pdb
AF-E5RFN9-F1-model_v4,protein_fingerprints/fingerprint/AF-E5RFN9-F1-model_v4.npy,protein_fingerprints/adj/AF-E5RFN9-F1-model_v4.npy,protein_mpnn/AF-E5RFN9-F1-model_v4.npz,protein_pdbs/AF-E5RFN9-F1-model_v4.pdb
