DLiP-ID,T000U8
DLiP-Mol-ID,16555
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4O4/c1-26-15-10-14(7-5-11(15)6-8-16(23)24)21-17(25)12-3-2-4-13(9-12)22-18(19)20/h2-10H,1H3,(H,21,25)(H,23,24)(H4,19,20,22)/b8-6+"
Standard Inchi Key(RDKit),CJZMSMBZRLZOFS-SOFGYWHQSA-N
Canonical SMILES(RDKit),COc1cc(NC(=O)c2cccc(NC(=N)N)c2)ccc1/C=C/C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),354.366
MW Monoisotopic(RDKit),354.132805056
MolLogP(RDKit),2.35067
XLogP(SDF),
XLogP(CDK),2.156
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),137.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.30663404173298
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,496641.226457578
qed,0.3066340417329804
Chi0,19.10408352775558
Chi1,12.384249150759292
TPSA,137.53
Chi0n,13.94546115878781
Chi0v,13.94546115878781
Chi1n,7.502987337785913
Chi1v,7.502987337785913
Chi2n,5.201904292529281
Chi2v,5.201904292529281
Chi3n,3.3005809798003716
Chi3v,3.3005809798003716
Chi4n,2.184610992070162
Chi4v,2.184610992070162
MolMR,99.59580000000004
MolWt,354.3660000000001
fr_SH,0
Kappa1,18.527538243146175
Kappa2,8.336075535316146
Kappa3,5.097848815623377
fr_ArN,0
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,877.2448568948673
MolLogP,2.35067
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.1844329993418365
SMR_VSA1,19.432464716784395
SMR_VSA2,5.409283605791522
SMR_VSA3,0.0
SMR_VSA4,5.733667477162185
SMR_VSA5,0.0
SMR_VSA6,17.743374749290194
SMR_VSA7,59.66749256945914
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,149.3443362250404
NHOHCount,6
PEOE_VSA1,26.2106350338156
