DLiP-ID,C000K6
DLiP-Mol-ID,30941
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H11NO3/c18-15(11-6-2-1-3-7-11)17-13-10-12-8-4-5-9-14(12)20-16(13)19/h1-10H,(H,17,18)"
Standard Inchi Key(RDKit),RXHSXTPNFVSJKM-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cc2ccccc2oc1=O)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),265.268
MW Monoisotopic(RDKit),265.073893212
MolLogP(RDKit),3.0453
XLogP(SDF),
XLogP(CDK),4.05
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.724347403592979
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,53536.57371753898
qed,0.7243474035929792
Chi0,13.94938298937633
Chi1,9.737183443017884
TPSA,59.31
Chi0n,10.49824756328785
Chi0v,10.49824756328785
Chi1n,6.131880721829936
Chi1v,6.131880721829936
Chi2n,4.305507886255515
