DLiP-ID,C001DZ
DLiP-Mol-ID,32226
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14N2/c1-10-14-9-18-8-7-12(14)11(2)17-16(10)13-5-3-4-6-15(13)19-17/h3-9,19H,1-2H3"
Standard Inchi Key(RDKit),CTSPAMFJBXKSOY-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),246.313
MW Monoisotopic(RDKit),246.115698448
MolLogP(RDKit),4.48614
XLogP(SDF),
XLogP(CDK),4.208
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),1
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),28.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.486410161758902
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,51184.511415477245
qed,0.48641016175890156
Chi0,12.982763184195939
Chi1,9.270856947829099
TPSA,28.68
Chi0n,10.98866547982734
Chi0v,10.98866547982734
Chi1n,6.5044316512069065
Chi1v,6.5044316512069065
Chi2n,5.091842559712556
Chi2v,5.091842559712556
Chi3n,4.08515899489675
Chi3v,4.08515899489675
Chi4n,3.1023413442063763
Chi4v,3.1023413442063763
MolMR,80.57970000000005
MolWt,246.31300000000002
fr_SH,0
Kappa1,10.561310529689413
Kappa2,3.5754329122412982
Kappa3,1.2842625981464624
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
