DLiP-ID,C001Z5
DLiP-Mol-ID,27197
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H23N7O4/c34-25(31-19-6-1-16(2-7-19)23-27-11-12-28-23)18-5-10-21(22(15-18)33(36)37)26(35)32-20-8-3-17(4-9-20)24-29-13-14-30-24/h1-10,15H,11-14H2,(H,27,28)(H,29,30)(H,31,34)(H,32,35)"
Standard Inchi Key(RDKit),WQZYYJRVBIQUGH-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1ccc(C2=NCCN2)cc1)c1ccc(C(=O)Nc2ccc(C3=NCCN3)cc2)c([N+](=O)[O-])c1
SMILES(SDF),
MW(SDF),
MW(RDKit),497.515
MW Monoisotopic(RDKit),497.181152216
MolLogP(RDKit),2.799
XLogP(SDF),
XLogP(CDK),3.186
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),150.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),37
QED Weighted(RDKit),0.291196577154171
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,419663493.2032494
qed,0.291196577154171
Chi0,25.777445635193004
Chi1,17.974366886035767
TPSA,150.12
Chi0n,19.6539140341874
Chi0v,19.6539140341874
Chi1n,11.664547650408556
Chi1v,11.664547650408556
Chi2n,8.366195209071199
Chi2v,8.366195209071199
Chi3n,5.881986501223429
Chi3v,5.881986501223429
Chi4n,4.023015497452331
Chi4v,4.023015497452331
MolMR,140.70019999999988
MolWt,497.5150000000002
fr_SH,0
Kappa1,23.67115149871068
Kappa2,10.280636666607855
Kappa3,5.29744073783902
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1430.2841688942067
MolLogP,2.7990000000000004
NOCount,11
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.2817622773006563
SMR_VSA1,14.512385416961315
SMR_VSA2,0.0
SMR_VSA3,10.633577208012662
SMR_VSA4,9.984809465271338
SMR_VSA5,0.0
SMR_VSA6,36.812602831662964
SMR_VSA7,99.09816198863129
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,2
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,211.4195797684792
NHOHCount,4
PEOE_VSA1,21.267154416025324
PEOE_VSA2,29.688202102180554
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,60.6636706846161
PEOE_VSA8,47.22100690474487
PEOE_VSA9,18.012823860642822
RingCount,5
SMR_VSA10,40.547757854268234
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,497.18115221600004
NumHDonors,4
PEOE_VSA10,17.234691063211535
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,17.501745733386574
PEOE_VSA14,0.0
SlogP_VSA1,21.267154416025324
SlogP_VSA2,54.58793570268552
SlogP_VSA3,0.0
SlogP_VSA4,10.114318268765572
SlogP_VSA5,31.842880334931625
SlogP_VSA6,76.71484721834906
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,2
fr_aniline,2
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,22.425056782204244
EState_VSA2,11.126902983393991
EState_VSA3,17.9195289552797
