DLiP-ID,T001TA
DLiP-Mol-ID,17697
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H32N4O5/c1-14(13-17-21(30)27(5)23(32)28(6)22(17)31)19-20-16(11-12-26-19)15-9-7-8-10-18(15)29(20)24(33)34-25(2,3)4/h7-10,14,17,19,26H,11-13H2,1-6H3"
Standard Inchi Key(RDKit),GGRCUQOSBVFZMU-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(CC1C(=O)N(C)C(=O)N(C)C1=O)C1NCCc2c1n(C(=O)OC(C)(C)C)c1ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),468.554
MW Monoisotopic(RDKit),468.237270124
MolLogP(RDKit),3.3041
XLogP(SDF),
XLogP(CDK),1.968
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),100.95
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.69396254774953
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,29820812.203464005
qed,0.6939625477495296
Chi0,24.94686479933369
Chi1,15.919409974834364
TPSA,100.95
Chi0n,20.545654466706218
Chi0v,20.545654466706218
Chi1n,11.600757418847472
Chi1v,11.600757418847472
Chi2n,10.22114564295309
Chi2v,10.22114564295309
Chi3n,6.637808750858937
Chi3v,6.637808750858937
Chi4n,5.036524195434339
Chi4v,5.036524195434339
MolMR,126.22470000000006
MolWt,468.55400000000026
fr_SH,0
Kappa1,23.941416617065233
Kappa2,8.539583477287492
Kappa3,3.9781292001487034
fr_ArN,0
fr_COO,0
