DLiP-ID,C001W4
DLiP-Mol-ID,33029
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H12ClN3O3S/c14-9-1-3-10(4-2-9)16-13(18)17-11-5-7-12(8-6-11)21(15,19)20/h1-8H,(H2,15,19,20)(H2,16,17,18)"
Standard Inchi Key(RDKit),HACQCGHVZICZSC-UHFFFAOYSA-N
Canonical SMILES(RDKit),NS(=O)(=O)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),325.777
MW Monoisotopic(RDKit),325.028789924
MolLogP(RDKit),2.6314
XLogP(SDF),
XLogP(CDK),1.563
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),101.29
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.808013737892055
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,40719.50613212044
qed,0.8080137378920551
Chi0,15.45781915781361
Chi1,9.842355158540421
TPSA,101.28999999999999
Chi0n,10.707110057571313
Chi0v,12.279535584517495
Chi1n,5.809000530789163
Chi1v,7.733284481719951
Chi2n,4.155403833391343
Chi2v,6.153262671330915
Chi3n,2.5428080071724732
Chi3v,3.7240155559235264
Chi4n,1.554608424332269
Chi4v,2.1960364079758667
MolMR,81.90860000000002
MolWt,325.77700000000004
fr_SH,0
Kappa1,15.301717525449153
Kappa2,6.127546528839067
Kappa3,4.452278645057133
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,743.2358821590096
MolLogP,2.631400000000001
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,2.0099161261935516
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,5.138973737607942
SMR_VSA5,4.895483475517775
SMR_VSA6,10.633577208012662
SMR_VSA7,53.553569861434205
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,126.51861872352694
NHOHCount,4
PEOE_VSA1,10.633577208012662
PEOE_VSA2,0.0
PEOE_VSA3,18.3513079060087
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,48.53093654769288
PEOE_VSA8,16.39740586310845
PEOE_VSA9,4.895483475517775
RingCount,2
SMR_VSA10,39.030118105345295
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,325.02878992399997
NumHDonors,3
PEOE_VSA10,0.0
PEOE_VSA11,0.0
PEOE_VSA12,10.023291153407584
PEOE_VSA13,0.0
PEOE_VSA14,6.031114512338072
SlogP_VSA1,15.772550945620605
SlogP_VSA2,14.448911496667009
SlogP_VSA3,10.023291153407584
SlogP_VSA4,0.0
SlogP_VSA5,0.0
SlogP_VSA6,53.42642002321065
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
