DLiP-ID,C001PE
DLiP-Mol-ID,32710
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H8O5/c16-9-5-8-12(6-10(9)17)19-14-7-3-1-2-4-11(7)20-15(18)13(8)14/h1-6,16-17H"
Standard Inchi Key(RDKit),RPTGHFLVJUHWET-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=c1oc2ccccc2c2oc3cc(O)c(O)cc3c12
SMILES(SDF),
MW(SDF),
MW(RDKit),268.224
MW Monoisotopic(RDKit),268.037173356
MolLogP(RDKit),3.1036
XLogP(SDF),
XLogP(CDK),3.398
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),83.81
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),0
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),20
QED Weighted(RDKit),0.377912941006919
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,67393.38705350827
qed,0.3779129410069188
Chi0,13.853006672199017
Chi1,9.647867045540844
TPSA,83.81
Chi0n,10.083273677529261
Chi0v,10.083273677529261
Chi1n,5.949885129228495
Chi1v,5.949885129228495
Chi2n,4.528947047920865
Chi2v,4.528947047920865
Chi3n,3.323643874390859
Chi3v,3.323643874390859
Chi4n,2.4071939222383985
Chi4v,2.4071939222383985
MolMR,73.09160000000001
MolWt,268.224
fr_SH,0
Kappa1,10.925610226304563
Kappa2,3.5390929490533765
Kappa3,1.286774258517132
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1038.8652947796463
MolLogP,3.103600000000001
NOCount,5
fr_Ar_N,0
