DLiP-ID,C101BJ
DLiP-Mol-ID,36657
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16F3N3O3S2/c1-3-4-12-9-13(19(2,27)20(21,22)23)10-26-18(12)15-6-8-17(30-15)31(28,29)14-5-7-16(24)25-11-14/h5-11,27H,1-2H3,(H2,24,25)"
Standard Inchi Key(RDKit),WNQFIUIJXPOGMC-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC#Cc1cc(C(C)(O)C(F)(F)F)cnc1-c1ccc(S(=O)(=O)c2ccc(N)nc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),467.494
MW Monoisotopic(RDKit),467.058518032
MolLogP(RDKit),3.7613
XLogP(SDF),
XLogP(CDK),3.043
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),106.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.566218454392657
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Glucokinase/Glucokinase regulatory protein
Common Target Pref Name,Glucokinase/Glucokinase regulatory protein
RDKit Descriptors
Ipc,5758561.132939497
qed,0.566218454392657
Chi0,23.026733258565947
Chi1,14.3743768968575
TPSA,106.17
Chi0n,16.227329520900017
Chi0v,17.86032268275547
Chi1n,8.668737674539145
Chi1v,10.968397503061261
Chi2n,6.606018119232494
Chi2v,9.86631795372715
Chi3n,4.41057264369751
Chi3v,7.733327831934628
Chi4n,2.579647637791914
Chi4v,5.242911117560045
MolMR,109.82900000000001
MolWt,467.49400000000014
fr_SH,0
Kappa1,22.738682555049582
Kappa2,7.95626211097967
Kappa3,4.2734831189421945
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1286.929864871278
MolLogP,3.761300000000001
NOCount,6
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,2.0703471836687513
SMR_VSA1,26.695569522194102
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,34.72948638084826
SMR_VSA6,5.733667477162185
SMR_VSA7,53.85242546892819
SMR_VSA8,0.0
SMR_VSA9,22.41194382626105
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,180.07025788194244
NHOHCount,3
PEOE_VSA1,10.84019487200289
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,13.401775505276145
PEOE_VSA4,13.171245143024459
PEOE_VSA5,17.25722019679038
PEOE_VSA6,5.920434318855644
PEOE_VSA7,44.179309741689295
PEOE_VSA8,17.957138634923147
PEOE_VSA9,21.030010155764533
RingCount,3
SMR_VSA10,26.991901792187267
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,467.05851803200005
NumHDonors,2
PEOE_VSA10,10.027041955357108
PEOE_VSA11,5.601050810983688
PEOE_VSA12,9.837253136417502
PEOE_VSA13,0.0
PEOE_VSA14,6.176298517443475
SlogP_VSA1,5.733667477162185
SlogP_VSA2,29.668579938507534
