DLiP-ID,T000JW
DLiP-Mol-ID,16111
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H24N4O3/c1-12(11-17(23)24)10-16-21-15(22-25-16)6-2-5-14-8-7-13-4-3-9-19-18(13)20-14/h7-8,12H,2-6,9-11H2,1H3,(H,19,20)(H,23,24)"
Standard Inchi Key(RDKit),BOFNJGKNSVAYQM-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(CC(=O)O)Cc1nc(CCCc2ccc3c(n2)NCCC3)no1
SMILES(SDF),
MW(SDF),
MW(RDKit),344.415
MW Monoisotopic(RDKit),344.184840628
MolLogP(RDKit),2.6513
XLogP(SDF),
XLogP(CDK),2.38
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.14
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.758828307533481
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,606777.2895145619
qed,0.7588283075334809
Chi0,17.648053602125596
Chi1,12.097356788324019
TPSA,101.14
Chi0n,14.49425601998882
Chi0v,14.49425601998882
Chi1n,8.858314058998745
Chi1v,8.858314058998745
Chi2n,6.705705330541383
Chi2v,6.705705330541383
Chi3n,4.341430142377741
Chi3v,4.341430142377741
Chi4n,3.078637988664407
Chi4v,3.078637988664407
MolMR,92.49150000000006
MolWt,344.4150000000001
fr_SH,0
Kappa1,17.385207694511347
Kappa2,8.091910541097649
Kappa3,5.014071986274989
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,728.8612990814165
MolLogP,2.651300000000001
NOCount,7
fr_Ar_N,3
fr_COO2,1
fr_urea,0
BalabanJ,1.4683206230914858
SMR_VSA1,14.424159515885876
SMR_VSA2,0.0
SMR_VSA3,15.124620299019863
SMR_VSA4,5.917906046161393
SMR_VSA5,51.8694885601727
SMR_VSA6,11.861545009918906
SMR_VSA7,35.10524204349451
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,146.40727697892797
NHOHCount,2
PEOE_VSA1,14.946410935820385
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.9839785209472085
PEOE_VSA4,4.9839785209472085
PEOE_VSA5,0.0
PEOE_VSA6,18.146767525277678
PEOE_VSA7,43.23101109802404
PEOE_VSA8,31.501149269539066
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,11.787168065786878
fr_Al_COO,1
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,344.18484062799996
NumHDonors,2
PEOE_VSA10,5.817862777835028
PEOE_VSA11,5.824404497999927
PEOE_VSA12,5.890723922025908
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,5.316788604006331
SlogP_VSA2,32.74520938772499
SlogP_VSA3,30.47782367577586
SlogP_VSA4,5.917906046161393
SlogP_VSA5,49.15870997503994
SlogP_VSA6,16.65582907389657
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,1
fr_benzene,0
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,5.969305287951849
EState_VSA2,12.338727669087403
EState_VSA3,18.135950042951848
EState_VSA4,43.7398336703001
EState_VSA5,11.984273114623004
EState_VSA6,0.0
EState_VSA7,6.923737199690624
EState_VSA8,32.57414303994941
EState_VSA9,9.629622331814055
SlogP_VSA10,5.817862777835028
SlogP_VSA11,0.0
SlogP_VSA12,0.0
