DLiP-ID,J000MY
DLiP-Mol-ID,27632
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H16F3N3O4/c1-20(31,11-27-10-15(18(28)29)14-4-2-3-5-17(14)27)19(30)26-13-7-6-12(9-25)16(8-13)21(22,23)24/h2-8,10,31H,11H2,1H3,(H,26,30)(H,28,29)/t20-/m0/s1"
Standard Inchi Key(RDKit),NQOTZXNTJJOLOJ-FQEVSTJZSA-N
Canonical SMILES(RDKit),C[C@](O)(Cn1cc(C(=O)O)c2ccccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),431.37
MW Monoisotopic(RDKit),431.109290652
MolLogP(RDKit),3.61968
XLogP(SDF),
XLogP(CDK),2.902
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),115.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.570820872881832
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,AR/unknown partner
Common Target Pref Name,AR/unknown partner
RDKit Descriptors
Ipc,5452622.2368706
qed,0.5708208728818323
Chi0,22.974327015758657
Chi1,14.435707400771351
