DLiP-ID,T002XE
DLiP-Mol-ID,19426
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H36N4O3/c1-16(24-5)20(28)26-19(23(2,3)4)22(30)27-15-9-12-18(27)21(29)25-14-13-17-10-7-6-8-11-17/h6-8,10-11,16,18-19,24H,9,12-15H2,1-5H3,(H,25,29)(H,26,28)/t16-,18-,19+/m0/s1"
Standard Inchi Key(RDKit),JQLNZCZBMMUFJH-YTQUADARSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)NCCc1ccccc1)C(C)(C)C
SMILES(SDF),
MW(SDF),
MW(RDKit),416.566
MW Monoisotopic(RDKit),416.278741012
MolLogP(RDKit),1.4751
XLogP(SDF),
XLogP(CDK),2.061
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),90.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.598687224029389
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP/Caspase9 or SMAC (BIR3 domanin)
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,3710802.717778154
qed,0.598687224029389
Chi0,22.311190308942123
Chi1,14.146084273381298
TPSA,90.54
Chi0n,18.826294526341297
Chi0v,18.826294526341297
Chi1n,10.745845640141647
Chi1v,10.745845640141647
Chi2n,9.034273719812852
Chi2v,9.034273719812852
Chi3n,5.620126881292018
Chi3v,5.620126881292018
Chi4n,3.608445354987812
Chi4v,3.608445354987812
MolMR,117.79810000000005
MolWt,416.5660000000002
fr_SH,0
Kappa1,23.864924482017784
Kappa2,10.568681411486558
Kappa3,6.29215086150475
fr_ArN,0
fr_COO,0
