DLiP-ID,J100AL
DLiP-Mol-ID,37083
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H18N2O2S/c1-11(2)12-3-5-13(6-4-12)20-19(22)17-15-7-8-16-14(9-10-24-16)18(15)23-21-17/h3-6,9-11H,7-8H2,1-2H3,(H,20,22)"
Standard Inchi Key(RDKit),LBLXTRVIKNEYPL-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)c1ccc(NC(=O)c2noc3c2CCc2sccc2-3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),338.432
MW Monoisotopic(RDKit),338.108898816
MolLogP(RDKit),4.8774
XLogP(SDF),
XLogP(CDK),4.183
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.13
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.740476023086708
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,578235.3004538338
qed,0.7404760230867077
Chi0,16.681433796945207
Chi1,11.631030293135236
TPSA,55.13
Chi0n,13.627623913592025
Chi0v,14.444120494519751
Chi1n,8.098113806811021
Chi1v,8.977766618065917
Chi2n,6.327143701106771
Chi2v,7.32781076830494
Chi3n,4.430550851417612
Chi3v,5.411271523303601
Chi4n,3.047898149867119
Chi4v,3.9239079560831724
MolMR,95.70820000000002
MolWt,338.43199999999996
fr_SH,0
Kappa1,15.146698393813207
Kappa2,5.907683119830392
Kappa3,2.546727961060033
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,890.4899932648673
MolLogP,4.877400000000003
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.5808861715184022
SMR_VSA1,9.31763212104517
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,32.60702369139466
SMR_VSA6,5.316788604006331
SMR_VSA7,57.40987628471771
SMR_VSA8,0.0
SMR_VSA9,11.323698910571437
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,144.0464941693314
NHOHCount,1
PEOE_VSA1,9.83988354097968
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,11.336785877934737
PEOE_VSA6,31.13687179342991
PEOE_VSA7,47.90216475956115
PEOE_VSA8,21.691436451778852
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,22.931351881969803
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,338.108898816
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,11.454175413722904
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
