DLiP-ID,C001R6
DLiP-Mol-ID,32803
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H15N3O5/c1-23-12-4-3-11(13(16(21)22)14(12)24-2)9-18-19-15(20)10-5-7-17-8-6-10/h3-9H,1-2H3,(H,19,20)(H,21,22)/b18-9+"
Standard Inchi Key(RDKit),HSYFNANHKYNZNI-GIJQJNRQSA-N
Canonical SMILES(RDKit),COc1ccc(/C=N/NC(=O)c2ccncc2)c(C(=O)O)c1OC
SMILES(SDF),
MW(SDF),
MW(RDKit),329.312
MW Monoisotopic(RDKit),329.10117058
MolLogP(RDKit),1.5609
XLogP(SDF),
XLogP(CDK),1.919
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),110.11
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.614563294878094
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,246232.6464184414
qed,0.614563294878094
Chi0,17.526733258565955
Chi1,11.578917360319545
TPSA,110.11000000000001
Chi0n,13.016085832682709
Chi0v,13.016085832682709
