DLiP-ID,C000WR
DLiP-Mol-ID,31480
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H12O5/c1-20-14-6-9(2-5-12(14)18)7-15-16(19)11-4-3-10(17)8-13(11)21-15/h2-8,17-18H,1H3/b15-7-"
Standard Inchi Key(RDKit),HPSPCMSCDNHZJM-CHHVJCJISA-N
Canonical SMILES(RDKit),COc1cc(/C=C2\Oc3cc(O)ccc3C2=O)ccc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),284.267
MW Monoisotopic(RDKit),284.068473484
MolLogP(RDKit),2.7226
XLogP(SDF),
XLogP(CDK),2.467
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),75.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.829189026147011
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,78119.4089086839
qed,0.8291890261470105
Chi0,14.982763184195939
Chi1,10.07971869811898
TPSA,75.99
Chi0n,11.160623946718887
Chi0v,11.160623946718887
Chi1n,6.225376479506345
Chi1v,6.225376479506345
Chi2n,4.551523144026723
Chi2v,4.551523144026723
Chi3n,3.15506716322958
Chi3v,3.15506716322958
Chi4n,2.1109694612819028
Chi4v,2.1109694612819028
MolMR,75.70110000000001
MolWt,284.267
fr_SH,0
Kappa1,13.052605705188398
Kappa2,4.863909706783758
Kappa3,2.2917701593819966
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,761.2578073001545
MolLogP,2.7226000000000012
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.972882522876422
SMR_VSA1,24.481317881353334
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,7.109797541277533
SMR_VSA7,53.28427026581983
SMR_VSA8,0.0
SMR_VSA9,22.99804733313562
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,2
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,120.22991166088353
NHOHCount,2
PEOE_VSA1,19.68678069728151
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.06636706846161
PEOE_VSA7,35.90493987237732
PEOE_VSA8,6.06636706846161
PEOE_VSA9,12.673249032974528
RingCount,3
SMR_VSA10,11.85926505319882
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,2
ExactMolWt,284.068473484
NumHDonors,2
PEOE_VSA10,11.49902366656781
PEOE_VSA11,17.258188538223987
PEOE_VSA12,5.783244946364939
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,9.473725907600098
SlogP_VSA2,23.106097277323883
SlogP_VSA3,0.0
SlogP_VSA4,0.0
SlogP_VSA5,15.921440167465814
SlogP_VSA6,42.15736728242584
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
