DLiP-ID,C001ZS
DLiP-Mol-ID,27354
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H22FNO/c1-13-8-11-18(12-9-13)10-2-3-16(19)14-4-6-15(17)7-5-14/h4-7,13H,2-3,8-12H2,1H3"
Standard Inchi Key(RDKit),DKMFBWQBDIGMHM-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),263.356
MW Monoisotopic(RDKit),263.168542544
MolLogP(RDKit),3.5205
XLogP(SDF),
XLogP(CDK),3.473
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),20.31
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.757535529598688
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,22333.766658017896
qed,0.7575355295986883
Chi0,13.664925939000156
Chi1,9.147867045540842
TPSA,20.310000000000002
Chi0n,11.569925173227013
Chi0v,11.569925173227013
Chi1n,7.160557125543603
Chi1v,7.160557125543603
Chi2n,5.557785521846127
Chi2v,5.557785521846127
Chi3n,3.920630344264702
Chi3v,3.920630344264702
Chi4n,2.5290087739742444
Chi4v,2.5290087739742444
MolMR,74.80250000000004
MolWt,263.356
fr_SH,0
Kappa1,14.19464363443765
Kappa2,6.804611740703177
Kappa3,4.425468414141742
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,407.2620391748402
MolLogP,3.520500000000003
NOCount,2
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.704234224725637
SMR_VSA1,9.184952231746642
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,5.917906046161393
SMR_VSA5,32.60702369139466
SMR_VSA6,19.634269217737724
SMR_VSA7,35.646140606589334
SMR_VSA8,0.0
