DLiP-ID,T002TD
DLiP-Mol-ID,19252
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C21H16N2O4/c24-20-18-8-4-5-9-19(18)21(25,16-6-2-1-3-7-16)22(20)14-15-10-12-17(13-11-15)23(26)27/h1-13,25H,14H2"
Standard Inchi Key(RDKit),JHLRZXRFMVWOLS-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C1c2ccccc2C(O)(c2ccccc2)N1Cc1ccc([N+](=O)[O-])cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),360.369
MW Monoisotopic(RDKit),360.111006992
MolLogP(RDKit),3.4442
XLogP(SDF),
XLogP(CDK),3.953
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),83.68
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.570524941576075
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,p53/MDM2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,1955775.5617294628
qed,0.570524941576075
Chi0,19.018297090128677
Chi1,13.013892449325283
TPSA,83.67999999999999
Chi0n,14.27904593854315
Chi0v,14.27904593854315
Chi1n,8.442881941270576
Chi1v,8.442881941270576
Chi2n,6.398677358871909
Chi2v,6.398677358871909
Chi3n,4.832997365259295
Chi3v,4.832997365259295
Chi4n,3.4851127021167487
Chi4v,3.4851127021167487
MolMR,98.85270000000003
MolWt,360.3690000000001
fr_SH,0
Kappa1,16.931600432993154
Kappa2,6.335293402302408
Kappa3,2.6679975988540017
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1017.8663053601039
MolLogP,3.444200000000002
NOCount,6
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.785153301526012
SMR_VSA1,14.824375627730198
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,12.269741999882829
SMR_VSA6,0.0
SMR_VSA7,111.23089612555452
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,1
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,1
fr_oxime,0
fr_quatN,0
LabuteASA,155.00315196622856
NHOHCount,1
PEOE_VSA1,5.106527394840706
PEOE_VSA2,19.80876518368787
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,60.6636706846161
PEOE_VSA7,11.629818560158606
PEOE_VSA8,35.36784501792678
PEOE_VSA9,4.923311048817671
RingCount,4
SMR_VSA10,11.594566004035068
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,360.111006992
NumHDonors,1
PEOE_VSA10,0.0
PEOE_VSA11,5.724985593970254
PEOE_VSA12,0.0
PEOE_VSA13,11.594566004035068
PEOE_VSA14,0.0
SlogP_VSA1,0.0
SlogP_VSA2,20.83692790386036
SlogP_VSA3,12.269741999882829
SlogP_VSA4,10.114318268765572
SlogP_VSA5,27.048343150859804
SlogP_VSA6,78.86277189000094
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,3
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,10.648296642787924
EState_VSA2,18.139322409947642
EState_VSA3,22.253805966787983
EState_VSA4,0.0
EState_VSA5,17.032643867773697
EState_VSA6,48.53093654769288
EState_VSA7,18.19910120538483
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,5.687386274683562
