DLiP-ID,T002XK
DLiP-Mol-ID,19432
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H16N6/c1-14-8-7-12-17(22-14)23-20-18(15-9-3-2-4-10-15)25-26-19(24-20)16-11-5-6-13-21-16/h2-13H,1H3,(H,22,23,24,26)"
Standard Inchi Key(RDKit),JQVHDQRNZLAXIV-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1cccc(Nc2nc(-c3ccccn3)nnc2-c2ccccc2)n1
SMILES(SDF),
MW(SDF),
MW(RDKit),340.39
MW Monoisotopic(RDKit),340.143644512
MolLogP(RDKit),4.04762
XLogP(SDF),
XLogP(CDK),3.525
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),76.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.603870561986697
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HIF-1a/p300
Common Target Pref Name,HIF-1a/p300
RDKit Descriptors
Ipc,1483378.6326037447
qed,0.6038705619866969
Chi0,17.76937394568524
Chi1,12.79282633568371
TPSA,76.48
Chi0n,14.164271207775304
Chi0v,14.164271207775304
Chi1n,8.21682214697108
Chi1v,8.21682214697108
Chi2n,5.702835706657875
Chi2v,5.702835706657875
Chi3n,3.762745702148835
Chi3v,3.762745702148835
Chi4n,2.5410678443856503
Chi4v,2.5410678443856503
MolMR,100.7507
MolWt,340.3900000000001
fr_SH,0
Kappa1,15.834343222171638
Kappa2,7.062823247775275
Kappa3,3.391002248575965
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,5
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1018.6347298134838
MolLogP,4.047620000000002
NOCount,6
fr_Ar_N,5
fr_COO2,0
fr_urea,0
BalabanJ,1.8119958885442975
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,25.149299179443698
SMR_VSA4,0.0
SMR_VSA5,6.923737199690624
SMR_VSA6,5.316788604006331
SMR_VSA7,78.62080931953926
SMR_VSA8,0.0
SMR_VSA9,22.775711979393844
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,150.584183508831
NHOHCount,1
PEOE_VSA1,5.316788604006331
PEOE_VSA2,4.9839785209472085
PEOE_VSA3,9.967957041894417
PEOE_VSA4,0.0
PEOE_VSA5,10.197363616602075
PEOE_VSA6,42.46456947923127
PEOE_VSA7,31.18920547353706
PEOE_VSA8,17.454223058158533
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,11.635725555670057
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,340.143644512
NumHDonors,1
PEOE_VSA10,17.205718767531952
PEOE_VSA11,5.817862777835028
PEOE_VSA12,5.824404497999927
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,5.316788604006331
