DLiP-ID,T001ZT
DLiP-Mol-ID,17982
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H22N4O4/c1-26-12-15-8-14(6-7-18(15)25-19(22(26)30)10-20(27)28)21(29)23-11-16-9-13-4-2-3-5-17(13)24-16/h2-9,19,24-25H,10-12H2,1H3,(H,23,29)(H,27,28)/t19-/m0/s1"
Standard Inchi Key(RDKit),GUDXBHTXBBCHBF-IBGZPJMESA-N
Canonical SMILES(RDKit),CN1Cc2cc(C(=O)NCc3cc4ccccc4[nH]3)ccc2N[C@@H](CC(=O)O)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),406.442
MW Monoisotopic(RDKit),406.164105184
MolLogP(RDKit),2.3251
XLogP(SDF),
XLogP(CDK),2.449
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),114.53
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),30
QED Weighted(RDKit),0.519223837708466
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,7072562.130099648
qed,0.5192238377084657
Chi0,21.250347897697555
Chi1,14.401887240964335
TPSA,114.53
Chi0n,16.436644828657784
Chi0v,16.436644828657784
Chi1n,9.615573924830969
Chi1v,9.615573924830969
Chi2n,7.425516315197453
Chi2v,7.425516315197453
Chi3n,5.182889323854333
Chi3v,5.182889323854333
Chi4n,3.6747205727251626
Chi4v,3.6747205727251626
MolMR,112.04840000000007
MolWt,406.4420000000002
