DLiP-ID,T004ZL
DLiP-Mol-ID,21707
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H26N4O7/c21-8-7-13-1-3-14(4-2-13)19(30)22-11-16(25)24-10-9-23(12-18(28)29)20(31)15(24)5-6-17(26)27/h1-4,15H,5-12,21H2,(H,22,30)(H,26,27)(H,28,29)/t15-/m0/s1"
Standard Inchi Key(RDKit),PRGNMVXEVVAUOE-HNNXBMFYSA-N
Canonical SMILES(RDKit),NCCc1ccc(C(=O)NCC(=O)N2CCN(CC(=O)O)C(=O)[C@@H]2CCC(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),434.449
MW Monoisotopic(RDKit),434.180149172
MolLogP(RDKit),-1.0936
XLogP(SDF),
XLogP(CDK),-3.658
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),11
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),170.34
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),10
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.359643011754361
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,4915242.796106843
qed,0.35964301175436114
Chi0,22.965890847321376
Chi1,14.722453108210818
TPSA,170.33999999999997
Chi0n,16.951051698949286
Chi0v,16.951051698949286
Chi1n,9.816235978492076
Chi1v,9.816235978492076
Chi2n,7.107151859665248
Chi2v,7.107151859665248
Chi3n,4.911191200792348
Chi3v,4.911191200792348
Chi4n,3.3457586704866222
Chi4v,3.3457586704866222
MolMR,108.12020000000005
MolWt,434.4490000000002
fr_SH,0
Kappa1,23.805492348588242
Kappa2,11.065862025139943
Kappa3,6.778159180971457
fr_ArN,0
fr_COO,2
fr_C_O,5
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,840.4350341195934
MolLogP,-1.0935999999999952
NOCount,11
fr_Ar_N,0
fr_COO2,2
fr_urea,0
BalabanJ,2.0126320072868533
SMR_VSA1,34.18574071004052
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,5.733667477162185
SMR_VSA5,25.30430569792599
SMR_VSA6,32.72378202956288
SMR_VSA7,35.392371257240434
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,3
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.3402597931586
NHOHCount,5
PEOE_VSA1,31.063330332550883
PEOE_VSA2,23.97268592035911
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,37.08258528038481
PEOE_VSA8,25.073785926448156
PEOE_VSA9,6.544756405912575
RingCount,2
SMR_VSA10,29.660149763958216
fr_Al_COO,2
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,434.18014917199986
NumHDonors,4
PEOE_VSA10,12.586597235060536
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,5.907179729351506
PEOE_VSA14,11.938610575903699
SlogP_VSA1,11.050456081168516
SlogP_VSA2,88.43864687405143
SlogP_VSA3,25.598970359213293
SlogP_VSA4,0.0
SlogP_VSA5,28.763083413317833
SlogP_VSA6,24.26546827384644
SlogP_VSA7,0.0
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,1
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,42.24674699901875
EState_VSA2,32.475912463589744
EState_VSA3,18.52902952053558
EState_VSA4,10.463361222547473
EState_VSA5,4.899909730850478
EState_VSA6,24.26546827384644
EState_VSA7,0.0
EState_VSA8,5.316788604006331
EState_VSA9,15.946722266843596
SlogP_VSA10,0.0
SlogP_VSA11,0.0
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
VSA_EState5,0.0
VSA_EState6,0.0
