DLiP-ID,C001OJ
DLiP-Mol-ID,32679
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C24H20N2O2/c1-28-23-11-10-15(12-22(23)27)24(18-13-25-20-8-4-2-6-16(18)20)19-14-26-21-9-5-3-7-17(19)21/h2-14,24-27H,1H3"
Standard Inchi Key(RDKit),CWMPUSKUSXTPAT-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(C(c2c[nH]c3ccccc23)c2c[nH]c3ccccc23)cc1O
SMILES(SDF),
MW(SDF),
MW(RDKit),368.436
MW Monoisotopic(RDKit),368.15247788
MolLogP(RDKit),5.5436
XLogP(SDF),
XLogP(CDK),4.901
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),61.04
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.389745782309257
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,6167217.356320146
qed,0.3897457823092573
Chi0,19.087211190881025
Chi1,13.758351493073063
TPSA,61.040000000000006
Chi0n,15.438365654618586
Chi0v,15.438365654618586
Chi1n,9.249439585701303
Chi1v,9.249439585701303
Chi2n,6.943500364590004
Chi2v,6.943500364590004
Chi3n,5.400735855059465
Chi3v,5.400735855059465
Chi4n,4.078817399375834
Chi4v,4.078817399375834
MolMR,112.20120000000001
MolWt,368.4360000000001
fr_SH,0
Kappa1,16.509069106907802
Kappa2,6.49778716461584
Kappa3,2.535805157963363
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1208.2635755519957
MolLogP,5.543600000000004
NOCount,4
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7841346810821896
SMR_VSA1,9.843390348640755
SMR_VSA2,0.0
SMR_VSA3,9.967957041894417
SMR_VSA4,0.0
SMR_VSA5,5.917906046161393
SMR_VSA6,7.109797541277533
SMR_VSA7,95.81407937139488
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,2
fr_Ar_OH,1
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.9649046476201
NHOHCount,3
PEOE_VSA1,19.81134739053517
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,42.46456947923127
PEOE_VSA7,40.95582274893743
