DLiP-ID,T0020W
DLiP-Mol-ID,18026
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H16N4O3/c18-17(19)21-14-3-1-2-12(10-14)16(24)20-13-7-4-11(5-8-13)6-9-15(22)23/h1-10H,(H,20,24)(H,22,23)(H4,18,19,21)/b9-6+"
Standard Inchi Key(RDKit),GXNRMXKXTHPZDX-RMKNXTFCSA-N
Canonical SMILES(RDKit),N=C(N)Nc1cccc(C(=O)Nc2ccc(/C=C/C(=O)O)cc2)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),324.34
MW Monoisotopic(RDKit),324.122240372
MolLogP(RDKit),2.34207
XLogP(SDF),
XLogP(CDK),2.241
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),128.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.327459192741109
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,199355.9153254919
qed,0.3274591927411085
Chi0,17.52673325856595
Chi1,11.435560745775547
TPSA,128.29999999999998
Chi0n,12.61456313751357
Chi0v,12.61456313751357
