DLiP-ID,T000RJ
DLiP-Mol-ID,16444
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H19ClN4O3S2/c23-17-10-5-4-9-16(17)14-24-22(28)19(13-15-7-2-1-3-8-15)27-32(29,30)20-12-6-11-18-21(20)26-31-25-18/h1-12,19,27H,13-14H2,(H,24,28)"
Standard Inchi Key(RDKit),CDTGUERHUHJUFI-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(NCc1ccccc1Cl)C(Cc1ccccc1)NS(=O)(=O)c1cccc2nsnc12
SMILES(SDF),
MW(SDF),
MW(RDKit),487.006
MW Monoisotopic(RDKit),486.058710148
MolLogP(RDKit),3.5507
XLogP(SDF),
XLogP(CDK),4.533
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),101.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.396365086079084
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,22864239.657682076
qed,0.3963650860790844
Chi0,22.553830996061407
Chi1,15.437490172930893
TPSA,101.05000000000001
Chi0n,16.733400178166693
Chi0v,19.122322286040596
Chi1n,9.725359511705996
Chi1v,12.31678397564984
Chi2n,7.060915438427016
Chi2v,9.678965494432799
Chi3n,4.845965157011212
Chi3v,7.26054363605601
Chi4n,3.2339768764880334
Chi4v,5.398334665533766
