DLiP-ID,T003GD
DLiP-Mol-ID,20245
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H19N3O4S/c1-15-10-11-9-12(3-4-13(11)16(2)14(15)18)22(19,20)17-5-7-21-8-6-17/h3-4,9H,5-8,10H2,1-2H3"
Standard Inchi Key(RDKit),LFBDSGLXLXJATE-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN1Cc2cc(S(=O)(=O)N3CCOCC3)ccc2N(C)C1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),325.39
MW Monoisotopic(RDKit),325.109627088
MolLogP(RDKit),0.7091
XLogP(SDF),
XLogP(CDK),-0.424
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),70.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.802836320593491
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD2/Ack
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,101764.49813115556
qed,0.8028363205934906
Chi0,15.905412915006313
Chi1,10.408720733802744
TPSA,70.16000000000001
Chi0n,12.650466952320807
Chi0v,13.466963533248533
Chi1n,7.1070242234281045
Chi1v,8.547087552228744
Chi2n,5.504630215079581
Chi2v,7.442565195021251
Chi3n,4.041136347421297
Chi3v,5.9357732140177015
Chi4n,2.7944700680027856
Chi4v,4.2535993721045
MolMR,81.28580000000005
MolWt,325.39000000000004
fr_SH,0
Kappa1,15.263174913034714
Kappa2,5.527699127637112
Kappa3,2.4668840166179695
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,698.0395427345687
MolLogP,0.7090999999999998
NOCount,7
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.966300057752798
SMR_VSA1,17.949197122200808
SMR_VSA2,0.0
SMR_VSA3,9.205125722146711
SMR_VSA4,0.0
SMR_VSA5,11.440239881430351
SMR_VSA6,45.298530437055845
SMR_VSA7,23.762552697081826
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,129.65462196018723
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,4.899909730850478
PEOE_VSA3,13.212334168400758
PEOE_VSA4,4.305215991296234
PEOE_VSA5,0.0
PEOE_VSA6,0.0
PEOE_VSA7,23.762552697081826
PEOE_VSA8,33.729613183092106
PEOE_VSA9,23.796633679227174
RingCount,3
SMR_VSA10,21.741791940429216
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
