DLiP-ID,T000SQ
DLiP-Mol-ID,16487
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H34N4O5/c32-24(29-18-23(25(33)34)30-26(35)36-19-20-4-2-1-3-5-20)21-6-10-27(11-7-21)12-16-31(17-13-27)22-8-14-28-15-9-22/h1-5,8-9,14-15,21,23H,6-7,10-13,16-19H2,(H,29,32)(H,30,35)(H,33,34)/t23-/m0/s1"
Standard Inchi Key(RDKit),CGSCSHWTEZCGFQ-QHCPKHFHSA-N
Canonical SMILES(RDKit),O=C(N[C@@H](CNC(=O)C1CCC2(CC1)CCN(c1ccncc1)CC2)C(=O)O)OCc1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),494.592
MW Monoisotopic(RDKit),494.252920188
MolLogP(RDKit),3.3542
XLogP(SDF),
XLogP(CDK),1.353
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),120.86
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.514570159790447
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,140140104.61472198
qed,0.5145701597904465
Chi0,25.382258120807595
Chi1,17.43909070562568
TPSA,120.86000000000001
Chi0n,20.39655472130669
Chi0v,20.39655472130669
Chi1n,12.56802977966542
Chi1v,12.56802977966542
Chi2n,9.808778215263004
Chi2v,9.808778215263004
Chi3n,7.55237376369522
Chi3v,7.55237376369522
Chi4n,5.240597811840198
Chi4v,5.240597811840198
MolMR,134.27119999999996
MolWt,494.5920000000002
fr_SH,0
Kappa1,25.472235763147815
Kappa2,11.877534679109662
Kappa3,6.73907999466703
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1014.9742325657251
MolLogP,3.3541999999999996
NOCount,9
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,1.1856278292163904
SMR_VSA1,24.227001900856223
SMR_VSA2,0.0
SMR_VSA3,15.617555728959871
SMR_VSA4,11.332896515558172
SMR_VSA5,51.17365253121694
SMR_VSA6,24.534178948588202
SMR_VSA7,60.42170811415441
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,210.7874601490484
NHOHCount,3
PEOE_VSA1,25.376877287503895
PEOE_VSA2,9.77851570501903
PEOE_VSA3,9.589074368143644
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,30.33183534230805
PEOE_VSA7,61.63610583557305
PEOE_VSA8,43.63324868180883
PEOE_VSA9,0.0
RingCount,4
SMR_VSA10,23.657111362925335
fr_Al_COO,1
fr_Ar_COO,0
