DLiP-ID,J0004D
DLiP-Mol-ID,26866
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H29F4N3O2/c26-21-12-20(25(27,28)29)13-22(14-21)30-24(33)32(16-18-4-2-1-3-5-18)23-6-9-31(10-7-23)15-19-8-11-34-17-19/h1-5,12-14,19,23H,6-11,15-17H2,(H,30,33)"
Standard Inchi Key(RDKit),XFHZWPUFIJHALD-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(Nc1cc(F)cc(C(F)(F)F)c1)N(Cc1ccccc1)C1CCN(CC2CCOC2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),479.518
MW Monoisotopic(RDKit),479.219590048
MolLogP(RDKit),5.37950000000001
XLogP(SDF),
XLogP(CDK),4.44
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),44.81
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.566208671224173
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,50046770.80487699
qed,0.5662086712241728
Chi0,24.131181265251026
Chi1,16.27500814891799
TPSA,44.81
Chi0n,18.860245386539738
Chi0v,18.860245386539738
Chi1n,11.571649365008929
Chi1v,11.571649365008929
Chi2n,9.031389896697203
Chi2v,9.031389896697203
Chi3n,6.471247950111929
Chi3v,6.471247950111929
Chi4n,4.6736444614464965
Chi4v,4.6736444614464965
MolMR,120.79370000000007
MolWt,479.51800000000037
fr_SH,0
Kappa1,24.47380262262988
Kappa2,10.734964005218808
Kappa3,6.4767880198977394
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,2
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,956.3782706267973
MolLogP,5.3795000000000055
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,1
BalabanJ,1.4632327910598806
SMR_VSA1,27.09306032857115
SMR_VSA2,0.0
SMR_VSA3,9.799819461700956
SMR_VSA4,5.917906046161393
SMR_VSA5,38.02536062128204
SMR_VSA6,38.164821750769896
SMR_VSA7,65.47506037213276
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
