DLiP-ID,P000H9
DLiP-Mol-ID,26102
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23N3O4S/c1-5-31(28,29)17-7-9-22(30-4)20(11-17)21-14-25(2)23(27)18-8-6-15(10-19(18)21)16-12-24-26(3)13-16/h6-14H,5H2,1-4H3"
Standard Inchi Key(RDKit),VFQXMHYHBXHDCR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCS(=O)(=O)c1ccc(OC)c(-c2cn(C)c(=O)c3ccc(-c4cnn(C)c4)cc23)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),437.521
MW Monoisotopic(RDKit),437.140927216
MolLogP(RDKit),3.4082
XLogP(SDF),
XLogP(CDK),4.951
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),83.19
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.47783614217634
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,10933873.65590406
qed,0.4778361421763405
Chi0,22.336134335324452
Chi1,14.745550585421341
TPSA,83.19
Chi0n,17.78614144271237
Chi0v,18.6026380236401
Chi1n,9.784459780475341
Chi1v,11.436725006795497
Chi2n,7.387387824090275
Chi2v,9.665638366278056
Chi3n,5.421721883698072
Chi3v,7.153968945562705
Chi4n,3.687572200967206
Chi4v,4.593692580416591
MolMR,121.10580000000003
MolWt,437.52100000000013
fr_SH,0
Kappa1,20.86553364929436
Kappa2,7.69959121892895
Kappa3,3.6323629283209296
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1466.200944170637
MolLogP,3.4082000000000026
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,2.0632388009988176
SMR_VSA1,13.154659938128987
SMR_VSA2,0.0
SMR_VSA3,14.347584391237579
