DLiP-ID,T001JJ
DLiP-Mol-ID,17280
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29ClN4O2S/c1-18(32)30-10-12-31(13-11-30)26(33)9-5-19-4-8-25(23(27)14-19)34-21-6-7-24-22(15-21)20(16-28-24)17-29(2)3/h4-9,14-16,28H,10-13,17H2,1-3H3/b9-5+"
Standard Inchi Key(RDKit),FLEDTAVZFHUYSW-WEVVVXLNSA-N
Canonical SMILES(RDKit),CC(=O)N1CCN(C(=O)/C=C/c2ccc(Sc3ccc4[nH]cc(CN(C)C)c4c3)c(Cl)c2)CC1
SMILES(SDF),
MW(SDF),
MW(RDKit),497.064
MW Monoisotopic(RDKit),496.169974848
MolLogP(RDKit),4.738
XLogP(SDF),
XLogP(CDK),3.949
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.65
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.500730595026232
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,47778960.398828425
qed,0.500730595026232
Chi0,24.24191172926027
Chi1,16.295734091081684
TPSA,59.650000000000006
Chi0n,19.676036459540065
Chi0v,21.248461986486245
Chi1n,11.245913439747433
Chi1v,12.440374493684386
Chi2n,8.715693379626122
Chi2v,10.238248578017135
Chi3n,5.864235261840682
Chi3v,7.354543102581518
Chi4n,4.037660913114754
Chi4v,5.201673745737474
MolMR,139.13269999999991
MolWt,497.0640000000003
fr_SH,0
Kappa1,24.386647671100665
Kappa2,10.676496259953854
Kappa3,5.8392929210643665
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1228.7637090426692
MolLogP,4.738000000000004
NOCount,6
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4117797406955876
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,19.68370771349864
SMR_VSA4,0.0
SMR_VSA5,23.25946055663875
SMR_VSA6,40.27436958900468
SMR_VSA7,64.82060238635194
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,209.0921149283009
NHOHCount,1
PEOE_VSA1,19.68370771349864
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,29.429191908085244
PEOE_VSA7,61.6301023978903
PEOE_VSA8,72.61427479081706
PEOE_VSA9,5.022633313741326
RingCount,4
SMR_VSA10,52.15612933724158
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
