DLiP-ID,C000MV
DLiP-Mol-ID,31067
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H14O9/c23-16-4-1-10(7-13(16)20(26)27)19(11-2-5-17(24)14(8-11)21(28)29)12-3-6-18(25)15(9-12)22(30)31/h1-9,23-24H,(H,26,27)(H,28,29)(H,30,31)"
Standard Inchi Key(RDKit),GIXWDMTZECRIJT-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),422.345
MW Monoisotopic(RDKit),422.063782028
MolLogP(RDKit),2.446
XLogP(SDF),
XLogP(CDK),3.806
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),5
PSA(SDF),
PSA(RDKit),169.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.454171411612629
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,5600840.530686163
qed,0.45417141161262936
Chi0,22.869514530144063
Chi1,14.595131908272991
TPSA,169.42999999999998
Chi0n,15.565213562061878
Chi0v,15.565213562061878
Chi1n,8.648632184815376
Chi1v,8.648632184815376
Chi2n,6.465252794889629
Chi2v,6.465252794889629
Chi3n,4.529922037406527
Chi3v,4.529922037406527
Chi4n,3.078318714521136
Chi4v,3.078318714521136
MolMR,106.02000000000005
MolWt,422.34500000000014
fr_SH,0
Kappa1,21.058590519695066
Kappa2,7.9922662694965725
Kappa3,4.055790040274353
fr_ArN,0
fr_COO,3
fr_C_O,4
fr_C_S,0
fr_NH0,0
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1180.1230448749975
MolLogP,2.4460000000000006
NOCount,9
fr_Ar_N,0
fr_COO2,3
fr_urea,0
BalabanJ,2.3779331413689304
SMR_VSA1,44.71078571049081
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,0.0
SMR_VSA7,88.02627775819782
SMR_VSA8,0.0
SMR_VSA9,11.49902366656781
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,2
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,173.6805353806002
NHOHCount,5
PEOE_VSA1,25.532636974203527
PEOE_VSA2,4.794537184071822
PEOE_VSA3,14.383611552215466
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,18.208754243757102
PEOE_VSA7,58.690620531046726
PEOE_VSA8,0.0
PEOE_VSA9,0.0
RingCount,3
SMR_VSA10,29.264265340289754
fr_Al_COO,1
fr_Ar_COO,2
fr_ketone,1
fr_lactam,0
fr_phenol,2
ExactMolWt,422.06378202799993
NumHDonors,5
PEOE_VSA10,28.199031180031067
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,17.90791586385555
SlogP_VSA1,0.0
SlogP_VSA2,49.22379778442401
SlogP_VSA3,9.589074368143644
SlogP_VSA4,0.0
SlogP_VSA5,31.842880334931625
SlogP_VSA6,65.77247179140984
SlogP_VSA7,0.0
SlogP_VSA8,5.573104530069267
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,0
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,0
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,0
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,51.89019199025155
EState_VSA2,22.273112043532524
EState_VSA3,0.0
EState_VSA4,36.417508487514205
EState_VSA5,18.208754243757102
EState_VSA6,0.0
EState_VSA7,0.0
EState_VSA8,0.0
EState_VSA9,0.0
SlogP_VSA10,0.0
SlogP_VSA11,11.49902366656781
SlogP_VSA12,0.0
VSA_EState1,0.0
VSA_EState2,0.0
VSA_EState3,0.0
VSA_EState4,0.0
