DLiP-ID,T005RF
DLiP-Mol-ID,22910
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H26N2O3S/c25-22(23-16-7-13-19-9-3-1-4-10-19)21-14-8-17-24(21)28(26,27)18-15-20-11-5-2-6-12-20/h1-6,9-12,15,18,21H,7-8,13-14,16-17H2,(H,23,25)/b18-15+"
Standard Inchi Key(RDKit),RYXBXWPVPXMPFN-OBGWFSINSA-N
Canonical SMILES(RDKit),O=C(NCCCc1ccccc1)C1CCCN1S(=O)(=O)/C=C/c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),398.528
MW Monoisotopic(RDKit),398.166413692
MolLogP(RDKit),3.2005
XLogP(SDF),
XLogP(CDK),3.719
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),66.48
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.694636243011177
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,FKBP1A/FK506
Common Target Pref Name,FKBP1A/FK506
RDKit Descriptors
Ipc,2987108.799777394
qed,0.6946362430111772
Chi0,19.82178018849253
Chi1,13.560480075219148
TPSA,66.48
Chi0n,15.828400943939837
Chi0v,16.644897524867563
Chi1n,9.627566459779127
Chi1v,11.130786018906937
Chi2n,6.907300358571112
Chi2v,8.678427136597644
Chi3n,4.849524491557006
Chi3v,6.420338667063896
Chi4n,3.3802316407201656
Chi4v,4.805108496526942
MolMR,111.89650000000003
MolWt,398.5280000000001
fr_SH,0
Kappa1,20.298275745121877
Kappa2,9.663351286858317
Kappa3,5.531304070570731
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
