DLiP-ID,J1003S
DLiP-Mol-ID,36838
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23FN4O3/c1-13-5-4-6-16(11-13)22(29)25-20-19(15-7-9-17(24)10-8-15)18-14(2)26-27-21(18)28(12-31-3)23(20)30/h4-11,19-20H,12H2,1-3H3,(H,25,29)(H,26,27)/t19-,20-/m0/s1"
Standard Inchi Key(RDKit),HGVKJJAXDNZSTI-PMACEKPBSA-N
Canonical SMILES(RDKit),COCN1C(=O)[C@@H](NC(=O)c2cccc(C)c2)[C@@H](c2ccc(F)cc2)c2c1n[nH]c2C
SMILES(SDF),
MW(SDF),
MW(RDKit),422.46
MW Monoisotopic(RDKit),422.175418816
MolLogP(RDKit),3.04664
XLogP(SDF),
XLogP(CDK),4.279
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),87.32
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),31
QED Weighted(RDKit),0.661717447225811
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,DCN1/UBE2M
Common Target Pref Name,DCN1/UBE2M
RDKit Descriptors
Ipc,11873028.096804908
qed,0.6617174472258109
Chi0,22.120591385700628
Chi1,14.9010859031649
TPSA,87.32
Chi0n,17.477746008483543
Chi0v,17.477746008483543
Chi1n,9.885577190848329
Chi1v,9.885577190848329
Chi2n,7.619766607282391
Chi2v,7.619766607282391
Chi3n,5.460686030986479
Chi3v,5.460686030986479
Chi4n,4.02359862446272
Chi4v,4.02359862446272
MolMR,113.36290000000002
MolWt,422.46000000000015
fr_SH,0
Kappa1,20.740669188005043
Kappa2,8.311433148536203
Kappa3,3.8167239500273995
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1126.1051969529249
MolLogP,3.046640000000001
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.8088866598294528
SMR_VSA1,18.716352369618512
SMR_VSA2,0.0
SMR_VSA3,15.514152220608405
SMR_VSA4,0.0
SMR_VSA5,25.8072212746906
SMR_VSA6,18.740524019627497
SMR_VSA7,82.29589135037523
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,178.7683799499662
NHOHCount,2
PEOE_VSA1,10.05365155780638
PEOE_VSA2,19.587665907295158
PEOE_VSA3,4.39041504767482
PEOE_VSA4,5.098681808301038
PEOE_VSA5,0.0
PEOE_VSA6,29.828919765543436
PEOE_VSA7,43.67639416492469
