DLiP-ID,C001GH
DLiP-Mol-ID,32332
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H11N3O4S/c22-14(13-8-11-4-1-2-6-15(11)24-17(13)23)10-26-18-21-20-16(25-18)12-5-3-7-19-9-12/h1-9H,10H2"
Standard Inchi Key(RDKit),YEFHDEYNYRPOBV-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(CSc1nnc(-c2cccnc2)o1)c1cc2ccccc2oc1=O
SMILES(SDF),
MW(SDF),
MW(RDKit),365.37
MW Monoisotopic(RDKit),365.047026832
MolLogP(RDKit),3.213
XLogP(SDF),
XLogP(CDK),4.116
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),99.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.30192773389772
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1640222.3536776958
qed,0.30192773389771976
Chi0,17.932510652501772
Chi1,12.70350993820667
TPSA,99.09
Chi0n,13.286141442712372
Chi0v,14.102638023640099
Chi1n,7.633426391041431
Chi1v,8.619024950694923
Chi2n,5.312032362768378
Chi2v,6.238623484459727
Chi3n,3.5835115193262075
Chi3v,4.401971350616224
Chi4n,2.3353825008392715
Chi4v,2.9818741414604517
MolMR,95.06750000000002
MolWt,365.3700000000002
fr_SH,0
Kappa1,16.221553929106378
Kappa2,6.927854211900839
Kappa3,3.266566371913201
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1137.8574185744633
MolLogP,3.213000000000002
NOCount,7
fr_Ar_N,3
fr_COO2,0
fr_urea,0
BalabanJ,1.5015563015700848
SMR_VSA1,13.628839058178517
SMR_VSA2,0.0
SMR_VSA3,15.181342137549283
SMR_VSA4,0.0
SMR_VSA5,5.222755905846688
SMR_VSA6,5.752853606746789
SMR_VSA7,70.84183161730424
SMR_VSA8,0.0
SMR_VSA9,11.454175413722904
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
