DLiP-ID,T001UE
DLiP-Mol-ID,17737
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10Cl2O3/c14-9-2-4-12(10(15)6-9)18-13-3-1-8(7-16)5-11(13)17/h1-6,16-17H,7H2"
Standard Inchi Key(RDKit),GILJPGZIIDINED-UHFFFAOYSA-N
Canonical SMILES(RDKit),OCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),285.126
MW Monoisotopic(RDKit),284.00069954
MolLogP(RDKit),3.9836
XLogP(SDF),
XLogP(CDK),3.262
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),3
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),49.69
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.896230899217575
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Transthyretin tetramer
Common Target Pref Name,Transthyretin tetramer
RDKit Descriptors
Ipc,12032.543461850795
qed,0.8962308992175755
Chi0,13.120955864630139
Chi1,8.596555450524587
TPSA,49.69
Chi0n,9.229812823806537
Chi0v,10.741670715843446
Chi1n,5.155668461258352
Chi1v,5.9115974072768065
Chi2n,3.636996852855
Chi2v,4.480632760067591
Chi3n,2.319765134176897
Chi3v,2.850231802181674
Chi4n,1.4240524226267475
Chi4v,1.871122188949347
MolMR,70.56560000000002
MolWt,285.126
fr_SH,0
Kappa1,13.022119949627317
Kappa2,5.481743927766793
Kappa3,2.8752929647482453
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,0
fr_NH1,0
