DLiP-ID,T003MN
DLiP-Mol-ID,20505
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H29N5O3/c28-26(29)19-8-10-22(11-9-19)31-27(35)20-6-7-21-16-32(13-12-18-4-2-1-3-5-18)17-23(15-25(33)34)30-24(21)14-20/h1-11,14,23,30H,12-13,15-17H2,(H3,28,29)(H,31,35)(H,33,34)"
Standard Inchi Key(RDKit),LTQLHHJBHMSIOH-UHFFFAOYSA-N
Canonical SMILES(RDKit),N=C(N)c1ccc(NC(=O)c2ccc3c(c2)NC(CC(=O)O)CN(CCc2ccccc2)C3)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),471.561
MW Monoisotopic(RDKit),471.227039788
MolLogP(RDKit),3.53647
XLogP(SDF),
XLogP(CDK),3.664
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),5
HBD Lipinski(RDKit),6
PSA(SDF),
PSA(RDKit),131.54
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),35
QED Weighted(RDKit),0.252249523436997
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,74617690.28636628
qed,0.2522495234369972
Chi0,24.78588180363028
Chi1,16.868213736153116
TPSA,131.54
Chi0n,19.329361446515144
Chi0v,19.329361446515144
Chi1n,11.505130087442994
Chi1v,11.505130087442994
Chi2n,8.726913293637628
Chi2v,8.726913293637628
Chi3n,6.038543660765156
Chi3v,6.038543660765156
Chi4n,4.23760501594107
Chi4v,4.23760501594107
MolMR,136.9397999999999
MolWt,471.56100000000026
fr_SH,0
Kappa1,23.970441649397383
Kappa2,10.837816073102662
Kappa3,6.454188725261439
fr_ArN,1
fr_COO,1
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,3
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1211.246197956383
MolLogP,3.5364700000000022
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.4979073526647522
SMR_VSA1,14.69560176298435
SMR_VSA2,5.409283605791522
SMR_VSA3,4.899909730850478
SMR_VSA4,5.733667477162185
SMR_VSA5,25.428240480912557
SMR_VSA6,23.723090019837812
SMR_VSA7,95.05021078832733
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,203.82631709364577
NHOHCount,6
PEOE_VSA1,21.47377208001555
PEOE_VSA2,19.898267704785642
PEOE_VSA3,0.0
PEOE_VSA4,0.0
