DLiP-ID,P000FK
DLiP-Mol-ID,25755
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H25N5S2/c1-4-5-13-10-14-15(20-12-21-16(14)24-13)22-6-8-23(9-7-22)17-19-11-18(2,3)25-17/h10,12H,4-9,11H2,1-3H3"
Standard Inchi Key(RDKit),SRQYLNYQAPCPIR-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCCc1cc2c(N3CCN(C4=NCC(C)(C)S4)CC3)ncnc2s1
SMILES(SDF),
MW(SDF),
MW(RDKit),375.567
MW Monoisotopic(RDKit),375.1551378
MolLogP(RDKit),3.6472
XLogP(SDF),
XLogP(CDK),3.699
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),44.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),25
QED Weighted(RDKit),0.819314826494697
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MENIN/MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,808521.066040682
qed,0.8193148264946966
Chi0,17.44094682093905
Chi1,12.05477467173665
TPSA,44.620000000000005
Chi0n,15.157012565112604
Chi0v,16.790005726968054
Chi1n,9.023631010818855
Chi1v,10.656624172674306
Chi2n,7.313468904928054
Chi2v,10.103113008641882
Chi3n,4.668213816971306
Chi3v,7.02260723667297
