DLiP-ID,T001EC
DLiP-Mol-ID,17045
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C27H22N4O5/c28-14-19-5-1-2-6-20(19)16-31-22-8-4-3-7-21(22)26(33)30(27(31)34)12-11-25(32)29-15-18-9-10-23-24(13-18)36-17-35-23/h1-10,13H,11-12,15-17H2,(H,29,32)"
Standard Inchi Key(RDKit),DYJQJQXZBPEIGV-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#Cc1ccccc1Cn1c(=O)n(CCC(=O)NCc2ccc3c(c2)OCO3)c(=O)c2ccccc21
SMILES(SDF),
MW(SDF),
MW(RDKit),482.496
MW Monoisotopic(RDKit),482.159019804
MolLogP(RDKit),2.51838
XLogP(SDF),
XLogP(CDK),4.212
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),115.35
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.432888609086997
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,232763381.43666804
qed,0.4328886090869973
Chi0,25.070338854006454
Chi1,17.546045193307762
TPSA,115.35
Chi0n,19.269269105837814
Chi0v,19.269269105837814
Chi1n,11.40540848859779
Chi1v,11.40540848859779
Chi2n,8.325952661887712
Chi2v,8.325952661887712
Chi3n,6.087621848279347
Chi3v,6.087621848279347
Chi4n,4.211761218399227
Chi4v,4.211761218399227
MolMR,131.75569999999996
MolWt,482.49600000000027
fr_SH,0
Kappa1,22.927800310881764
Kappa2,9.798177549040522
Kappa3,4.440785246876859
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1630.2696985061302
MolLogP,2.5183799999999996
NOCount,9
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.372221282774823
SMR_VSA1,14.268263091671919
SMR_VSA2,5.261891554738487
SMR_VSA3,14.450987899589041
SMR_VSA4,0.0
SMR_VSA5,26.055090840663734
SMR_VSA6,6.792942306099827
