DLiP-ID,T002ED
DLiP-Mol-ID,18598
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C19H19Cl2NO3S/c20-15-5-6-18(17(21)13-15)26-16-3-1-2-14(12-16)4-7-19(25)22(8-10-23)9-11-24/h1-7,12-13,23-24H,8-11H2/b7-4+"
Standard Inchi Key(RDKit),IAMRJPFIUFSJPM-QPJJXVBHSA-N
Canonical SMILES(RDKit),O=C(/C=C/c1cccc(Sc2ccc(Cl)cc2Cl)c1)N(CCO)CCO
SMILES(SDF),
MW(SDF),
MW(RDKit),412.338
MW Monoisotopic(RDKit),411.046269828
MolLogP(RDKit),3.971
XLogP(SDF),
XLogP(CDK),3.862
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),60.77
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.644561143427088
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,584235.1340745921
qed,0.6445611434270876
Chi0,18.940946820939047
Chi1,12.528407103102724
TPSA,60.77000000000001
Chi0n,13.93864586089888
Chi0v,16.267000333863518
Chi1n,7.948939449803817
Chi1v,9.521364976749997
Chi2n,5.355128604439935
Chi2v,7.314119583302939
Chi3n,3.4496959439970163
Chi3v,5.175100887525592
Chi4n,2.213187392383881
Chi4v,3.625469589012121
MolMR,106.81260000000005
MolWt,412.33800000000025
fr_SH,0
Kappa1,20.807574009996156
Kappa2,10.600913343729115
Kappa3,6.340877914951989
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,777.1295918124777
MolLogP,3.971000000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.0917228203392018
SMR_VSA1,15.007591973753234
SMR_VSA2,0.0
SMR_VSA3,4.899909730850478
SMR_VSA4,0.0
SMR_VSA5,9.79096695103555
SMR_VSA6,26.303276740850986
SMR_VSA7,64.1493077052448
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,2
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,166.59295484792074
NHOHCount,2
PEOE_VSA1,15.11296452053189
PEOE_VSA2,4.794537184071822
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,47.09649886677937
PEOE_VSA7,41.97130694083893
PEOE_VSA8,33.979133183435906
PEOE_VSA9,18.23639724276716
RingCount,2
SMR_VSA10,46.94696456604154
