DLiP-ID,J100AA
DLiP-Mol-ID,37072
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H24N4O2/c1-5-24(6-2)16-9-7-15(8-10-16)21-20(25)18-13-23(4)12-17(18)19-11-14(3)26-22-19/h7-13H,5-6H2,1-4H3,(H,21,25)"
Standard Inchi Key(RDKit),AAMRPNJBKOOAJO-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCN(CC)c1ccc(NC(=O)c2cn(C)cc2-c2cc(C)on2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),352.438
MW Monoisotopic(RDKit),352.189926008
MolLogP(RDKit),4.08702
XLogP(SDF),
XLogP(CDK),3.801
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.3
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.725736143169332
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,GATA4/NKX2-5
Common Target Pref Name,GATA4/NKX2-5
RDKit Descriptors
Ipc,1002332.0394135603
qed,0.7257361431693318
Chi0,18.681433796945203
Chi1,12.511570350697117
TPSA,63.300000000000004
Chi0n,15.613802814128078
Chi0v,15.613802814128078
Chi1n,8.7743842846251
Chi1v,8.7743842846251
Chi2n,6.247108976508436
Chi2v,6.247108976508436
