DLiP-ID,C001ES
DLiP-Mol-ID,32270
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H13N3O/c15-10-13(11-16)9-12-1-3-14(4-2-12)17-5-7-18-8-6-17/h1-4,9H,5-8H2"
Standard Inchi Key(RDKit),CHKTYKSOGLZPFK-UHFFFAOYSA-N
Canonical SMILES(RDKit),N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),239.278
MW Monoisotopic(RDKit),239.105862036
MolLogP(RDKit),1.95376
XLogP(SDF),
XLogP(CDK),1.587
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),60.05
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),18
QED Weighted(RDKit),0.740012881187787
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,17485.951816313132
qed,0.7400128811877865
Chi0,12.794682450997078
Chi1,8.83002980034506
TPSA,60.05
Chi0n,9.965067547658059
Chi0v,9.965067547658059
Chi1n,5.779343668708783
Chi1v,5.779343668708783
Chi2n,3.9725723176852616
Chi2v,3.9725723176852616
Chi3n,2.8212274679357185
Chi3v,2.8212274679357185
Chi4n,1.8591321335050095
Chi4v,1.8591321335050095
MolMR,68.67700000000004
MolWt,239.2779999999999
fr_SH,0
Kappa1,12.164699343827314
Kappa2,5.859209157127992
Kappa3,2.8798407381824345
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,497.4554652000102
MolLogP,1.95376
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.1287057808502636
SMR_VSA1,4.736862953800049
SMR_VSA2,10.523783109476973
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,0.0
SMR_VSA6,31.203186471701468
SMR_VSA7,35.402024295612705
SMR_VSA8,0.0
SMR_VSA9,12.138442625584547
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,106.31404411160403
NHOHCount,0
PEOE_VSA1,9.636772684650527
PEOE_VSA2,0.0
PEOE_VSA3,0.0
PEOE_VSA4,10.523783109476973
PEOE_VSA5,0.0
PEOE_VSA6,12.13273413692322
PEOE_VSA7,23.772205735454097
PEOE_VSA8,18.776899086508713
PEOE_VSA9,13.213763929025836
RingCount,2
SMR_VSA10,11.763406381517443
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,239.105862036
NumHDonors,0
PEOE_VSA10,17.711547155653815
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,4.899909730850478
SlogP_VSA2,26.303276740850986
SlogP_VSA3,4.736862953800049
SlogP_VSA4,22.66222573506152
SlogP_VSA5,5.563451491696996
SlogP_VSA6,29.838572803915707
SlogP_VSA7,0.0
SlogP_VSA8,6.076020106833881
SlogP_VSA9,0.0
fr_amidine,0
