DLiP-ID,T000HM
DLiP-Mol-ID,16000
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H36N4O4/c1-31(15-11-21-9-13-29-14-10-21)27(35)22-7-8-23-19-32(16-12-20-5-3-2-4-6-20)28(36)25(18-26(33)34)30-24(23)17-22/h2-8,17,21,25,29-30H,9-16,18-19H2,1H3,(H,33,34)"
Standard Inchi Key(RDKit),BIIVGTIHIPJAHG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CN(CCC1CCNCC1)C(=O)c1ccc2c(c1)NC(CC(=O)O)C(=O)N(CCc1ccccc1)C2
SMILES(SDF),
MW(SDF),
MW(RDKit),492.62
MW Monoisotopic(RDKit),492.273655632
MolLogP(RDKit),2.9884
XLogP(SDF),
XLogP(CDK),3.296
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),101.98
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),36
QED Weighted(RDKit),0.497533923158323
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,132359305.63309331
qed,0.4975339231583228
Chi0,25.492988584816832
Chi1,17.40188724096433
TPSA,101.98
Chi0n,20.9109561616532
Chi0v,20.9109561616532
Chi1n,12.805917580743195
Chi1v,12.805917580743195
Chi2n,9.870862446497112
Chi2v,9.870862446497112
Chi3n,7.227670906927838
Chi3v,7.227670906927838
Chi4n,5.0145912735210665
Chi4v,5.0145912735210665
MolMR,138.8396999999999
MolWt,492.6200000000003
fr_SH,0
Kappa1,25.69542724029651
Kappa2,12.034074643741036
Kappa3,6.63268470955979
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,2
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1068.4742859789571
MolLogP,2.9884000000000013
NOCount,8
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.4764652198489443
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,15.116608065707286
SMR_VSA4,5.917906046161393
SMR_VSA5,44.69070534969058
SMR_VSA6,38.54348621033382
SMR_VSA7,65.22129102278387
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
