DLiP-ID,C0006U
DLiP-Mol-ID,30376
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H18ClNO3S/c1-13-7-9-15(10-8-13)23(21,22)19-16(17(20)12-18)11-14-5-3-2-4-6-14/h2-10,16,19H,11-12H2,1H3/t16-/m0/s1"
Standard Inchi Key(RDKit),MQUQNUAYKLCRME-INIZCTEOSA-N
Canonical SMILES(RDKit),Cc1ccc(S(=O)(=O)N[C@@H](Cc2ccccc2)C(=O)CCl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),351.855
MW Monoisotopic(RDKit),351.069592116
MolLogP(RDKit),2.69252
XLogP(SDF),
XLogP(CDK),3.163
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),63.24
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),23
QED Weighted(RDKit),0.779959000085726
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,127568.02414179033
qed,0.7799590000857265
Chi0,16.872032720186702
Chi1,10.91985208272585
TPSA,63.24
Chi0n,12.698673889134035
Chi0v,14.271099416080217
Chi1n,7.137723159350467
Chi1v,9.155408890769708
Chi2n,5.276592473806175
Chi2v,7.2578340722917005
Chi3n,3.431709424861931
Chi3v,5.182708703565257
Chi4n,2.136897427216868
Chi4v,3.5429744558862377
MolMR,91.16150000000003
MolWt,351.85500000000013
fr_SH,0
Kappa1,17.660547207646786
Kappa2,7.725175166459064
Kappa3,4.891433053352568
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,758.1853059890764
MolLogP,2.692520000000001
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,2.2274877677888107
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,4.722094864452088
SMR_VSA4,0.0
