DLiP-ID,C004I1
DLiP-Mol-ID,35335
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H29Cl2NO4/c1-4-21(12-16(2)30)29-24(17-8-10-19(27)11-9-17)22(18-6-5-7-20(28)13-18)14-26(3,25(29)33)15-23(31)32/h5-11,13,21-22,24H,4,12,14-15H2,1-3H3,(H,31,32)/t21-,22+,24+,26+/m0/s1"
Standard Inchi Key(RDKit),WDFRCALYHDBJRK-SODSZRCFSA-N
Canonical SMILES(RDKit),CC[C@@H](CC(C)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),490.427
MW Monoisotopic(RDKit),489.147363768
MolLogP(RDKit),6.28930000000001
XLogP(SDF),
XLogP(CDK),4.859
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),74.68
RO3 Pass,
Num RO5 Violations,1
Num Lipinski RO5 Violations,1
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.472104881821847
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Tumour suppressor p53/oncoprotein Mdm2
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,13227367.266139856
qed,0.47210488182184746
Chi0,24.336134335324452
Chi1,15.551568357325513
TPSA,74.68
Chi0n,19.05438109424204
Chi0v,20.566238986278947
Chi1n,11.103431511265333
Chi1v,11.859360457283788
Chi2n,9.173820406437649
Chi2v,10.046691967381616
Chi3n,6.519546577028259
Chi3v,7.006619995155483
Chi4n,5.052112695635867
Chi4v,5.376828307720684
MolMR,129.5858
MolWt,490.427
fr_SH,0
Kappa1,25.256673625637013
Kappa2,10.269890389220683
Kappa3,5.586882978659556
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1038.8423338094856
MolLogP,6.289300000000006
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,2.2404588619932406
SMR_VSA1,19.490138947056174
SMR_VSA2,0.0
