DLiP-ID,I000RS
DLiP-Mol-ID,28855
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C28H25N3O3/c32-26(28(34)30-17-15-29(16-18-30)27(33)22-11-5-2-6-12-22)24-20-31(19-21-9-3-1-4-10-21)25-14-8-7-13-23(24)25/h1-14,20H,15-19H2"
Standard Inchi Key(RDKit),MSYGRVOQWPMYBC-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(C(=O)N1CCN(C(=O)c2ccccc2)CC1)c1cn(Cc2ccccc2)c2ccccc12
SMILES(SDF),
MW(SDF),
MW(RDKit),451.526
MW Monoisotopic(RDKit),451.18959166
MolLogP(RDKit),3.8569
XLogP(SDF),
XLogP(CDK),4.417
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),62.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),4
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.34201440167128
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,100953894.02507845
qed,0.34201440167128
Chi0,23.49298858481683
Chi1,16.614193540729627
TPSA,62.620000000000005
Chi0n,18.762173601668593
Chi0v,18.762173601668593
Chi1n,11.413476548200714
Chi1v,11.413476548200714
Chi2n,8.452974590648115
Chi2v,8.452974590648115
Chi3n,6.298033498892826
Chi3v,6.298033498892826
Chi4n,4.473388682234197
Chi4v,4.473388682234197
MolMR,130.73799999999997
MolWt,451.5260000000002
fr_SH,0
Kappa1,21.64502795560311
Kappa2,9.35249792888824
Kappa3,4.221740172971027
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1337.3561806270543
