DLiP-ID,C002Y2
DLiP-Mol-ID,33320
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H25N5O3S/c1-5-12-19-15-14(17(25)22(4)18(26)21(15)3)16(20-12)27-10-13(24)23-8-6-11(2)7-9-23/h11H,5-10H2,1-4H3"
Standard Inchi Key(RDKit),IKSHHOBCJKJKOG-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1nc(SCC(=O)N2CCC(C)CC2)c2c(=O)n(C)c(=O)n(C)c2n1
SMILES(SDF),
MW(SDF),
MW(RDKit),391.497
MW Monoisotopic(RDKit),391.16781066
MolLogP(RDKit),0.9402
XLogP(SDF),
XLogP(CDK),2.318
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),8
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),90.09
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.569159393961378
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Importin subunit beta-1/Snurportin-1
Common Target Pref Name,Importin subunit beta-1/Snurportin-1
RDKit Descriptors
Ipc,1069448.5426342096
qed,0.5691593939613779
Chi0,19.714813991764814
Chi1,12.828606258093467
TPSA,90.09000000000002
Chi0n,16.189052095664156
Chi0v,17.005548676591882
Chi1n,9.202576030796388
Chi1v,10.188174590449874
Chi2n,7.054891877309089
Chi2v,8.018940477565701
Chi3n,5.098029282905633
Chi3v,6.058165675594824
Chi4n,3.213830925375173
Chi4v,4.149458052091721
MolMR,105.10000000000005
MolWt,391.4970000000001
fr_SH,0
Kappa1,19.597427688726704
Kappa2,7.835375074595569
Kappa3,3.7810866223922543
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,5
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,989.1253769152233
MolLogP,0.9401999999999999
NOCount,8
fr_Ar_N,4
fr_COO2,0
fr_urea,0
BalabanJ,1.9483193118151463
SMR_VSA1,4.794537184071822
SMR_VSA2,0.0
SMR_VSA3,24.002066068327604
SMR_VSA4,20.013250011515773
SMR_VSA5,38.135899246828515
SMR_VSA6,18.842366418571938
SMR_VSA7,26.66248915939905
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,161.15258676313886
NHOHCount,0
PEOE_VSA1,4.899909730850478
PEOE_VSA2,18.723273663726353
PEOE_VSA3,14.76249422596624
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,25.60935934877236
PEOE_VSA7,18.75954929201341
PEOE_VSA8,33.60567840010554
