DLiP-ID,T000NP
DLiP-Mol-ID,16277
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C22H20Cl2N4O5/c1-2-7-26-17-18(20(30)19(17)29)28-15(22(32)33)8-11-3-5-12(6-4-11)27-21(31)16-13(23)9-25-10-14(16)24/h3-6,9-10,15,29-30H,2,7-8H2,1H3,(H,27,31)(H,32,33)/b26-17-,28-18-/t15-/m0/s1"
Standard Inchi Key(RDKit),BWTTWZCBYFXNPJ-RGSASCSGSA-N
Canonical SMILES(RDKit),CCC/N=c1\c(O)c(O)\c1=N/[C@@H](Cc1ccc(NC(=O)c2c(Cl)cncc2Cl)cc1)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),491.331
MW Monoisotopic(RDKit),490.0810751
MolLogP(RDKit),2.8348
XLogP(SDF),
XLogP(CDK),0.608
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),144.47
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.381541372815124
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,15285860.841956932
qed,0.38154137281512446
Chi0,24.120591385700628
