DLiP-ID,I000N3
DLiP-Mol-ID,28658
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H28N4O5/c1-15-14-26(23(30)17-8-6-5-7-9-17)10-11-27(15)22(29)16(2)32-20-13-25-18(21(28)24-3)12-19(20)31-4/h5-9,12-13,15-16H,10-11,14H2,1-4H3,(H,24,28)/t15-,16+/m1/s1"
Standard Inchi Key(RDKit),KVDRFBPETGPOMO-CVEARBPZSA-N
Canonical SMILES(RDKit),CNC(=O)c1cc(OC)c(O[C@@H](C)C(=O)N2CCN(C(=O)c3ccccc3)C[C@H]2C)cn1
SMILES(SDF),
MW(SDF),
MW(RDKit),440.5
MW Monoisotopic(RDKit),440.205969996
MolLogP(RDKit),1.5902
XLogP(SDF),
XLogP(CDK),1.275
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),101.07
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.732197282250463
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD4_gp120
Common Target Pref Name,CD4/gp120
RDKit Descriptors
Ipc,13650868.824435404
qed,0.7321972822504629
Chi0,23.25034789769754
Chi1,15.34977430814864
TPSA,101.06999999999998
Chi0n,18.700355005085466
Chi0v,18.700355005085466
Chi1n,10.428805717559134
Chi1v,10.428805717559134
Chi2n,7.557453215209265
Chi2v,7.557453215209265
Chi3n,5.381200306073397
Chi3v,5.381200306073397
Chi4n,3.631800798082109
Chi4v,3.631800798082109
MolMR,117.78970000000002
MolWt,440.5000000000001
fr_SH,0
Kappa1,23.051741439679358
Kappa2,10.125207469942463
Kappa3,4.985742509208019
fr_ArN,0
fr_COO,0
fr_C_O,3
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,981.6069681256226
MolLogP,1.5901999999999994
NOCount,9
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.6396948709492236
