DLiP-ID,T007AJ
DLiP-Mol-ID,25284
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H11ClN4/c17-12-6-7-14-13(8-12)16(11-4-2-1-3-5-11)18-9-15-20-19-10-21(14)15/h1-10,20H"
Standard Inchi Key(RDKit),XGBFHVFOWLVOBT-UHFFFAOYSA-N
Canonical SMILES(RDKit),Clc1ccc2c(c1)C(c1ccccc1)=NC=C1NN=CN12
SMILES(SDF),
MW(SDF),
MW(RDKit),294.745
MW Monoisotopic(RDKit),294.067224032
MolLogP(RDKit),3.3428
XLogP(SDF),
XLogP(CDK),4.93
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),39.99
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.876043087046071
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4/NUT
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,141955.3342161377
qed,0.8760430870460713
Chi0,14.233840039752504
Chi1,10.326499840494925
TPSA,39.99
Chi0n,10.993107951405362
Chi0v,11.749036897423817
Chi1n,6.545398705576373
Chi1v,6.9233631785856
Chi2n,4.745917691710391
Chi2v,5.182353472182376
Chi3n,3.4482585171238727
Chi3v,3.6833556199116115
Chi4n,2.4811418008184805
Chi4v,2.653244824771348
MolMR,85.72270000000003
MolWt,294.745
fr_SH,0
Kappa1,12.17357108746933
Kappa2,4.752039702283049
Kappa3,2.004938450383865
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,793.1792049431048
MolLogP,3.342800000000003
NOCount,4
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.9648568752861149
SMR_VSA1,0.0
SMR_VSA2,0.0
SMR_VSA3,5.425791397110385
SMR_VSA4,10.093812258375392
SMR_VSA5,0.0
SMR_VSA6,4.899909730850478
SMR_VSA7,76.70140183069105
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,1
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,126.62074351655302
NHOHCount,1
PEOE_VSA1,0.0
