DLiP-ID,T005SV
DLiP-Mol-ID,22962
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23NO4/c1-27-20-9-6-10-21(28-2)22(20)17-13-11-16(12-14-17)15-19(23(25)26)24-18-7-4-3-5-8-18/h3-14,19,24H,15H2,1-2H3,(H,25,26)"
Standard Inchi Key(RDKit),SDNYETHBJMIURC-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1cccc(OC)c1-c1ccc(CC(Nc2ccccc2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),377.44
MW Monoisotopic(RDKit),377.162708216
MolLogP(RDKit),4.4786
XLogP(SDF),
XLogP(CDK),4.791
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.79
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.605839516414327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,2455048.0851661996
qed,0.6058395164143274
Chi0,19.93251065250177
Chi1,13.617723500579764
TPSA,67.79
Chi0n,15.884618747543234
Chi0v,15.884618747543234
Chi1n,8.967695508045434
Chi1v,8.967695508045434
Chi2n,6.339767320871921
Chi2v,6.339767320871921
Chi3n,4.523044823816056
Chi3v,4.523044823816056
Chi4n,3.114560533851269
Chi4v,3.114560533851269
MolMR,110.17450000000004
MolWt,377.44000000000005
fr_SH,0
Kappa1,19.29598276684404
Kappa2,8.95045196606309
Kappa3,4.434336727057587
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,900.8421779219943
MolLogP,4.478600000000002
NOCount,5
fr_Ar_N,0
fr_COO2,1
fr_urea,0
BalabanJ,1.8150570998203095
SMR_VSA1,19.374790486512623
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,12.462662452073971
SMR_VSA6,19.536383686561397
SMR_VSA7,78.35985631323634
SMR_VSA8,0.0
SMR_VSA9,22.6259266499618
fr_Al_OH,0
