DLiP-ID,T001AT
DLiP-Mol-ID,16568
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C25H25N3O5S/c29-24(30)16-23(17-6-2-1-3-7-17)28-34(32,33)22-11-5-9-19(15-22)18-8-4-10-21(14-18)27-25(31)26-20-12-13-20/h1-11,14-15,20,23,28H,12-13,16H2,(H,29,30)(H2,26,27,31)"
Standard Inchi Key(RDKit),DQDKTWDDEKWFKO-UHFFFAOYSA-N
Canonical SMILES(RDKit),O=C(O)CC(NS(=O)(=O)c1cccc(-c2cccc(NC(=O)NC3CC3)c2)c1)c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),479.558
MW Monoisotopic(RDKit),479.1514919
MolLogP(RDKit),4.1318
XLogP(SDF),
XLogP(CDK),3.601
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),124.6
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),9
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.367281077635974
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,66996181.45849638
qed,0.3672810776359736
Chi0,24.131181265251026
Chi1,16.29766351823703
TPSA,124.6
Chi0n,18.270029429223307
