DLiP-ID,C000FH
DLiP-Mol-ID,30744
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C15H15N3O6/c16-11(14(22)23)8-17-6-5-12(19)18(15(17)24)7-9-3-1-2-4-10(9)13(20)21/h1-6,11H,7-8,16H2,(H,20,21)(H,22,23)/t11-/m1/s1"
Standard Inchi Key(RDKit),UUIYULWYHDSXHL-LLVKDONJSA-N
Canonical SMILES(RDKit),N[C@H](Cn1ccc(=O)n(Cc2ccccc2C(=O)O)c1=O)C(=O)O
SMILES(SDF),
MW(SDF),
MW(RDKit),333.3
MW Monoisotopic(RDKit),333.0960852
MolLogP(RDKit),-0.831599999999999
XLogP(SDF),
XLogP(CDK),-1.237
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),7
HBA Lipinski(RDKit),9
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),144.62
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),24
QED Weighted(RDKit),0.625235973556508
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,177019.146310628
qed,0.6252359735565084
Chi0,17.853006672199015
Chi1,11.307438208038288
TPSA,144.61999999999998
Chi0n,12.454863259745387
Chi0v,12.454863259745387
Chi1n,6.908353877561515
Chi1v,6.908353877561515
Chi2n,5.082086826348266
Chi2v,5.082086826348266
Chi3n,3.4265124339950104
Chi3v,3.4265124339950104
Chi4n,2.1684532103074545
Chi4v,2.1684532103074545
MolMR,83.07650000000004
MolWt,333.30000000000007
fr_SH,0
Kappa1,17.158555677131556
Kappa2,6.920327518689925
Kappa3,3.578306420607459
fr_ArN,0
