DLiP-ID,T001UM
DLiP-Mol-ID,17745
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H30N2O6/c1-33-22-8-3-2-7-20(22)19-11-9-18(10-12-19)17-21(23(29)30)27-24(31)26(13-6-16-34-26)25(32)28-14-4-5-15-28/h2-3,7-12,21H,4-6,13-17H2,1H3,(H,27,31)(H,29,30)/t21-,26+/m0/s1"
Standard Inchi Key(RDKit),GJFNKTYJRCAGCV-HFZDXXHNSA-N
Canonical SMILES(RDKit),COc1ccccc1-c1ccc(C[C@H](NC(=O)[C@@]2(C(=O)N3CCCC3)CCCO2)C(=O)O)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),466.534
MW Monoisotopic(RDKit),466.21038668
MolLogP(RDKit),2.6457
XLogP(SDF),
XLogP(CDK),2.682
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),5
HBA Lipinski(RDKit),8
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),105.17
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),8
nRings(SDF),
nRings(RDKit),4
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),34
QED Weighted(RDKit),0.579811273652863
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Integrins
Common Target Pref Name,Integrins
RDKit Descriptors
Ipc,70742384.01669826
qed,0.5798112736528624
Chi0,24.13118126525103
