DLiP-ID,C001LX
DLiP-Mol-ID,32567
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C13H10N2S/c1-2-6-10(7-3-1)14-13-15-11-8-4-5-9-12(11)16-13/h1-9H,(H,14,15)"
Standard Inchi Key(RDKit),QDTDFSFRIDFTCF-UHFFFAOYSA-N
Canonical SMILES(RDKit),c1ccc(Nc2nc3ccccc3s2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),226.304
MW Monoisotopic(RDKit),226.05646932
MolLogP(RDKit),4.0399
XLogP(SDF),
XLogP(CDK),3.143
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),24.92
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.712957658553269
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,10534.896429543438
qed,0.7129576585532685
Chi0,10.794682450997076
Chi1,7.915816237971964
TPSA,24.92
Chi0n,8.551614308670455
Chi0v,9.368110889598182
Chi1n,5.093495757676407
Chi1v,5.909992338604132
Chi2n,3.477768133634069
Chi2v,4.508417015560435
Chi3n,2.3189442391650665
Chi3v,3.2707767596490167
Chi4n,1.5706380307112757
Chi4v,2.4566795349753154
MolMR,69.34470000000003
MolWt,226.30400000000003
fr_SH,0
Kappa1,9.362738186979707
Kappa2,3.944786470041364
Kappa3,1.77080263798456
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,1
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
