DLiP-ID,I001HE
DLiP-Mol-ID,29959
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H15FN6O/c1-26-19-15(10-23-26)18-16(17(24-19)11-3-2-4-13(22)9-11)20(28)27(25-18)14-7-5-12(21)6-8-14/h2-10,25H,22H2,1H3"
Standard Inchi Key(RDKit),YZRQBRVRVKEHSG-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cn1ncc2c3[nH]n(-c4ccc(F)cc4)c(=O)c3c(-c3cccc(N)c3)nc21
SMILES(SDF),
MW(SDF),
MW(RDKit),374.379
MW Monoisotopic(RDKit),374.12913732
MolLogP(RDKit),2.9888
XLogP(SDF),
XLogP(CDK),3.845
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),94.52
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),5
nAtoms(SDF),
Heavy Atoms(RDKit),28
QED Weighted(RDKit),0.464551168697596
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CD80_CD28
Common Target Pref Name,CD80/CD28
RDKit Descriptors
Ipc,4401897.346001565
qed,0.4645511686975961
Chi0,19.413484604514082
Chi1,13.524877143252588
TPSA,94.52
Chi0n,14.848569837369183
Chi0v,14.848569837369183
Chi1n,8.610244332765003
Chi1v,8.610244332765003
Chi2n,6.5701141569449355
Chi2v,6.5701141569449355
Chi3n,4.766765425762336
Chi3v,4.766765425762336
Chi4n,3.4204423275220934
Chi4v,3.4204423275220934
MolMR,105.7691
MolWt,374.37900000000013
fr_SH,0
Kappa1,16.249458593209035
Kappa2,5.780712007251285
Kappa3,2.311501203599431
fr_ArN,1
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,4
fr_NH1,1
fr_NH2,1
fr_N_O,0
fr_azo,0
BertzCT,1410.9635588432013
