DLiP-ID,C000LK
DLiP-Mol-ID,31001
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C18H18N4O3S2/c1-3-16-20-21-18(26-16)19-17(23)13-9-11-14(12-10-13)22(2)27(24,25)15-7-5-4-6-8-15/h4-12H,3H2,1-2H3,(H,19,21,23)"
Standard Inchi Key(RDKit),MPDJPMXCUKNYCN-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCc1nnc(NC(=O)c2ccc(N(C)S(=O)(=O)c3ccccc3)cc2)s1
SMILES(SDF),
MW(SDF),
MW(RDKit),402.501
MW Monoisotopic(RDKit),402.082032436
MolLogP(RDKit),3.1779
XLogP(SDF),
XLogP(CDK),4.012
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),6
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),92.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),27
QED Weighted(RDKit),0.683600289253208
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,1558177.6695594392
qed,0.6836002892532081
Chi0,19.440946820939043
Chi1,12.913052031452311
TPSA,92.25999999999999
Chi0n,14.786141442712372
Chi0v,16.419134604567823
Chi1n,8.193149068194709
Chi1v,10.449708977923077
Chi2n,5.641091686330843
Chi2v,8.672423241012146
Chi3n,3.884465972684289
Chi3v,6.667253923873027
Chi4n,2.3283669930355417
Chi4v,4.219478422178301
MolMR,105.71300000000002
MolWt,402.5010000000001
fr_SH,0
Kappa1,18.994733071859834
Kappa2,7.848180072898622
Kappa3,4.145716096487286
fr_ArN,0
fr_COO,0
fr_C_O,1
fr_C_S,0
fr_NH0,3
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1031.9834007286563
MolLogP,3.177900000000002
NOCount,7
fr_Ar_N,2
fr_COO2,0
fr_urea,0
BalabanJ,1.7516979207483119
SMR_VSA1,13.212334168400758
SMR_VSA2,0.0
SMR_VSA3,10.197363616602075
SMR_VSA4,0.0
SMR_VSA5,18.24004229813441
SMR_VSA6,16.669676577979754
SMR_VSA7,65.16837880470425
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
