DLiP-ID,P000HT
DLiP-Mol-ID,26162
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C20H19ClN2O3/c1-12-17(9-10-19(12)24)23-18-8-3-13(11-16(18)21)20(25)22-14-4-6-15(26-2)7-5-14/h3-8,11,23H,9-10H2,1-2H3,(H,22,25)"
Standard Inchi Key(RDKit),VZTVTSICPINUNG-UHFFFAOYSA-N
Canonical SMILES(RDKit),COc1ccc(NC(=O)c2ccc(NC3=C(C)C(=O)CC3)c(Cl)c2)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),370.836
MW Monoisotopic(RDKit),370.108420148
MolLogP(RDKit),4.6497
XLogP(SDF),
XLogP(CDK),3.13
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),2
HBD Lipinski(RDKit),2
PSA(SDF),
PSA(RDKit),67.43
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),5
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),26
QED Weighted(RDKit),0.803456268490327
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-1/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,878187.3426987412
qed,0.8034562684903273
Chi0,18.681433796945203
Chi1,12.47356554823633
TPSA,67.43
Chi0n,14.558374791101295
Chi0v,15.31430373711975
Chi1n,8.226110820609323
Chi1v,8.60407529361855
Chi2n,6.0289808784122165
Chi2v,6.4361810051528225
Chi3n,4.337704136559152
Chi3v,4.650413145047451
Chi4n,2.735969236563204
Chi4v,2.963757425918098
MolMR,102.9629
MolWt,370.8360000000001
fr_SH,0
Kappa1,18.014680587861644
Kappa2,7.6203136289347775
Kappa3,3.8869172482879786
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,888.4293490176144
MolLogP,4.649700000000003
NOCount,5
fr_Ar_N,0
fr_COO2,0
fr_urea,0
BalabanJ,1.7170288974822991
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,0.0
SMR_VSA4,0.0
SMR_VSA5,19.765380445542643
SMR_VSA6,17.743374749290194
SMR_VSA7,64.32079812779469
SMR_VSA8,0.0
SMR_VSA9,5.749511833283905
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,1
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,156.55218007871252
NHOHCount,2
PEOE_VSA1,15.37044016181271
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,11.600939890232516
PEOE_VSA7,55.8091283018479
PEOE_VSA8,28.94180323243167
PEOE_VSA9,17.81981712970242
RingCount,3
SMR_VSA10,34.66613711531608
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,1
fr_lactam,0
fr_phenol,0
ExactMolWt,370.10842014800005
NumHDonors,2
PEOE_VSA10,5.749511833283905
PEOE_VSA11,5.783244946364939
PEOE_VSA12,0.0
PEOE_VSA13,5.907179729351506
PEOE_VSA14,0.0
SlogP_VSA1,15.37044016181271
SlogP_VSA2,18.800222216993976
SlogP_VSA3,4.794537184071822
SlogP_VSA4,0.0
SlogP_VSA5,30.123369121311462
SlogP_VSA6,53.73471332235637
SlogP_VSA7,5.022633313741326
SlogP_VSA8,0.0
SlogP_VSA9,0.0
fr_amidine,0
fr_aniline,2
fr_benzene,2
fr_epoxide,0
fr_guanido,0
fr_halogen,1
fr_hdrzine,0
fr_hdrzone,0
fr_isocyan,0
fr_lactone,0
fr_methoxy,1
fr_nitrile,0
fr_nitroso,0
fr_oxazole,0
fr_sulfide,0
fr_sulfone,0
EState_VSA1,0.0
EState_VSA2,11.690424675716445
EState_VSA3,34.80250060065747
EState_VSA4,17.019655676409005
EState_VSA5,0.0
EState_VSA6,49.5743670205088
EState_VSA7,6.923737199690624
EState_VSA8,10.633577208012662
EState_VSA9,16.337802844032566
