DLiP-ID,P000KM
DLiP-Mol-ID,24253
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C23H23Cl2N3O4/c1-23(2,3)27-21(30)20(28(12-29)11-13-4-6-14(24)7-5-13)18-16-9-8-15(25)10-17(16)26-19(18)22(31)32/h4-10,12,20,26H,11H2,1-3H3,(H,27,30)(H,31,32)/t20-/m0/s1"
Standard Inchi Key(RDKit),ZAOJHZGIRKVCBH-FQEVSTJZSA-N
Canonical SMILES(RDKit),CC(C)(C)NC(=O)[C@H](c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(Cl)cc1
SMILES(SDF),
MW(SDF),
MW(RDKit),476.36
MW Monoisotopic(RDKit),475.106561576
MolLogP(RDKit),4.7873
XLogP(SDF),
XLogP(CDK),4.353
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),3
HBD Lipinski(RDKit),3
PSA(SDF),
PSA(RDKit),102.5
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),7
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),32
QED Weighted(RDKit),0.427053144003717
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,HDM2/P53
Common Target Pref Name,P53/HDM2
RDKit Descriptors
Ipc,8866942.411047487
qed,0.4270531440037173
Chi0,23.629027554137902
Chi1,14.996220917555371
TPSA,102.5
Chi0n,17.778360212303145
Chi0v,19.290218104340052
Chi1n,9.81845210367115
Chi1v,10.574381049689606
Chi2n,8.454729542099336
Chi2v,9.327601103043303
Chi3n,4.7800883329614505
Chi3v,5.267161751088675
Chi4n,3.519642519103545
Chi4v,3.8177337007261554
MolMR,123.96370000000003
MolWt,476.3600000000001
fr_SH,0
Kappa1,23.629308762664593
Kappa2,9.221747760122485
Kappa3,5.230733456413558
fr_ArN,0
fr_COO,1
fr_C_O,3
fr_C_S,0
fr_NH0,1
fr_NH1,2
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,1166.438488540554
MolLogP,4.787300000000003
NOCount,7
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.190638450122636
SMR_VSA1,19.49013894705617
SMR_VSA2,0.0
SMR_VSA3,15.200676855804018
SMR_VSA4,0.0
SMR_VSA5,38.89673408651575
SMR_VSA6,0.0
SMR_VSA7,69.33066708495637
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
