DLiP-ID,C100JL
DLiP-Mol-ID,36462
Vendor-ID,
Standard Inchi(RDKit),InChI=1S/C10H7IN2/c11-10-6-9(12-7-13-10)8-4-2-1-3-5-8/h1-7H
Standard Inchi Key(RDKit),ZTCJXHNJVLUUMR-UHFFFAOYSA-N
Canonical SMILES(RDKit),Ic1cc(-c2ccccc2)ncn1
SMILES(SDF),
MW(SDF),
MW(RDKit),282.084
MW Monoisotopic(RDKit),281.965396224
MolLogP(RDKit),2.7482
XLogP(SDF),
XLogP(CDK),2.915
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),2
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),0
HBD Lipinski(RDKit),0
PSA(SDF),
PSA(RDKit),25.78
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),1
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.593431076678098
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
Common Target Pref Name,MIF/CD74 (Macrophage migration inhibitory factor and HLA-DR antigens-associated invariant chain)
RDKit Descriptors
Ipc,1420.6550069818122
qed,0.5934310766780979
Chi0,9.096011838247808
Chi1,6.360173345306137
TPSA,25.78
Chi0n,6.813843548336526
Chi0v,8.97134183951285
Chi1n,3.8906274832114796
Chi1v,4.969376628799641
Chi2n,2.5919961411773373
Chi2v,3.6972435348117294
Chi3n,1.7032638593922975
Chi3v,2.293203745895561
Chi4n,1.1003586238912415
Chi4v,1.5198917890615544
MolMR,60.18500000000002
MolWt,282.084
fr_SH,0
Kappa1,8.620407990533682
Kappa2,3.826027458710733
Kappa3,2.0336324712403915
fr_ArN,0
fr_COO,0
fr_C_O,0
fr_C_S,0
fr_NH0,2
fr_NH1,0
fr_NH2,0
fr_N_O,0
