DLiP-ID,T006MC
DLiP-Mol-ID,24243
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C16H32N4O2/c1-15(2,3)19-13(21)17-11-8-7-9-12(10-11)18-14(22)20-16(4,5)6/h11-12H,7-10H2,1-6H3,(H2,17,19,21)(H2,18,20,22)"
Standard Inchi Key(RDKit),VHEAYKNXDIRQPZ-UHFFFAOYSA-N
Canonical SMILES(RDKit),CC(C)(C)NC(=O)NC1CCCC(NC(=O)NC(C)(C)C)C1
SMILES(SDF),
MW(SDF),
MW(RDKit),312.458
MW Monoisotopic(RDKit),312.252526264
MolLogP(RDKit),2.493
XLogP(SDF),
XLogP(CDK),2.386
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),2
HBA Lipinski(RDKit),6
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),82.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),0
nAtoms(SDF),
Heavy Atoms(RDKit),22
QED Weighted(RDKit),0.631625573210228
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Cyclophilins
Common Target Pref Name,Cyclophilins
RDKit Descriptors
Ipc,26840.738199636817
qed,0.6316255732102284
Chi0,16.966255326250888
Chi1,9.94429022420443
TPSA,82.26
Chi0n,14.79962424405317
Chi0v,14.79962424405317
Chi1n,8.118591721508942
Chi1v,8.118591721508942
Chi2n,8.257376195354444
Chi2v,8.257376195354444
Chi3n,3.321706369826382
Chi3v,3.321706369826382
