DLiP-ID,P0004K
DLiP-Mol-ID,17571
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C14H15NO4/c1-4-18-12-6-10(5-11(7-12)14(16)17)13-8(2)15-19-9(13)3/h5-7H,4H2,1-3H3,(H,16,17)"
Standard Inchi Key(RDKit),GAMMHRRBGXCHRX-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOc1cc(C(=O)O)cc(-c2c(C)noc2C)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),261.277
MW Monoisotopic(RDKit),261.10010796
MolLogP(RDKit),3.05534
XLogP(SDF),
XLogP(CDK),2.972
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),5
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),72.56
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),4
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),19
QED Weighted(RDKit),0.915218650181117
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,CREBBP/H4
Common Target Pref Name,CREBBP/H4
RDKit Descriptors
Ipc,20861.700988975186
qed,0.915218650181117
Chi0,13.991199352633217
Chi1,9.024075805453153
TPSA,72.56
Chi0n,11.058329651146932
Chi0v,11.058329651146932
Chi1n,5.969992940381047
Chi1v,5.969992940381047
Chi2n,4.1834010980859855
Chi2v,4.1834010980859855
Chi3n,2.7865265051250976
Chi3v,2.7865265051250976
Chi4n,2.0119910908635177
Chi4v,2.0119910908635177
MolMR,69.54130000000002
MolWt,261.27699999999993
fr_SH,0
Kappa1,13.139209677934183
Kappa2,5.136509258277945
Kappa3,2.594663156319065
fr_ArN,0
fr_COO,1
fr_C_O,1
fr_C_S,0
fr_NH0,1
fr_NH1,0
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,596.4036796989744
MolLogP,3.055340000000001
NOCount,5
fr_Ar_N,1
fr_COO2,1
fr_urea,0
BalabanJ,2.591967421559038
SMR_VSA1,19.161022469685925
SMR_VSA2,0.0
SMR_VSA3,5.156663257125445
SMR_VSA4,0.0
SMR_VSA5,20.771211599071872
SMR_VSA6,6.606881964512918
SMR_VSA7,35.21672811080473
SMR_VSA8,0.0
SMR_VSA9,16.876414816677897
fr_Al_OH,0
fr_Ar_NH,0
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,110.34784253008335
NHOHCount,1
PEOE_VSA1,14.366485285614104
PEOE_VSA2,0.0
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,5.156663257125445
PEOE_VSA7,44.5337642961537
PEOE_VSA8,5.563451491696996
PEOE_VSA9,17.864261451058375
RingCount,2
SMR_VSA10,5.969305287951849
fr_Al_COO,0
fr_Ar_COO,1
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,261.10010796
NumHDonors,1
PEOE_VSA10,11.509759252158346
PEOE_VSA11,0.0
PEOE_VSA12,0.0
PEOE_VSA13,0.0
PEOE_VSA14,5.969305287951849
SlogP_VSA1,4.736862953800049
SlogP_VSA2,22.83937790443092
SlogP_VSA3,0.0
SlogP_VSA4,13.847474399381248
SlogP_VSA5,28.735901289182344
SlogP_VSA6,22.72219614235818
