DLiP-ID,P000DJ
DLiP-Mol-ID,25271
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C12H15NO3/c1-3-16-12(15)11-8-5-4-6-9(14)10(8)7(2)13-11/h13H,3-6H2,1-2H3"
Standard Inchi Key(RDKit),QMQMLKBVJSOVCI-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCOC(=O)c1[nH]c(C)c2c1CCCC2=O
SMILES(SDF),
MW(SDF),
MW(RDKit),221.256
MW Monoisotopic(RDKit),221.10519334
MolLogP(RDKit),2.01882
XLogP(SDF),
XLogP(CDK),1.74
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),2
nRings(SDF),
nRings(RDKit),2
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),16
QED Weighted(RDKit),0.777064211768617
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BRD4-2/H4
Common Target Pref Name,Bromodomain/Histone
RDKit Descriptors
Ipc,5391.973954160582
qed,0.777064211768617
Chi0,11.706742302257043
Chi1,7.647065707741406
TPSA,59.160000000000004
Chi0n,9.553171996137781
Chi0v,9.553171996137781
Chi1n,5.565261132663703
Chi1v,5.565261132663703
Chi2n,3.975753296854041
Chi2v,3.975753296854041
Chi3n,2.880063682992036
Chi3v,2.880063682992036
Chi4n,2.2324160179365222
Chi4v,2.2324160179365222
MolMR,58.75470000000003
MolWt,221.25599999999994
fr_SH,0
Kappa1,10.921984217104809
Kappa2,4.118361743727921
Kappa3,1.6407463328202407
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,445.36150434002224
MolLogP,2.01882
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.4484410650896384
SMR_VSA1,14.325937321943691
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
