DLiP-ID,I001HD
DLiP-Mol-ID,29957
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C26H37N5O2/c1-16(27-2)25(32)30-23(17-8-4-3-5-9-17)26(33)31-13-12-22-24(31)20(15-29-22)19-14-28-21-11-7-6-10-18(19)21/h6-7,10-11,14,16-17,20,22-24,27-29H,3-5,8-9,12-13,15H2,1-2H3,(H,30,32)/t16-,20+,22+,23-,24+/m0/s1"
Standard Inchi Key(RDKit),YZGDJFGVZYLLIG-JZPZAOSGSA-N
Canonical SMILES(RDKit),CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2NC[C@H](c3c[nH]c4ccccc34)[C@H]21)C1CCCCC1
SMILES(SDF),
MW(SDF),
MW(RDKit),451.615
MW Monoisotopic(RDKit),451.294725424
MolLogP(RDKit),2.4972
XLogP(SDF),
XLogP(CDK),2.856
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),4
HBA Lipinski(RDKit),7
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),4
HBD Lipinski(RDKit),4
PSA(SDF),
PSA(RDKit),89.26
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),6
nRings(SDF),
nRings(RDKit),5
Aromatic Rings(RDKit),2
nAtoms(SDF),
Heavy Atoms(RDKit),33
QED Weighted(RDKit),0.543376248223984
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,XIAP_Smac
Common Target Pref Name,XIAP/SMAC
RDKit Descriptors
Ipc,62913374.43557001
qed,0.5433762482239833
Chi0,22.949018510446813
Chi1,16.07971869811898
TPSA,89.25999999999999
Chi0n,19.771417387005947
Chi0v,19.771417387005947
Chi1n,12.656929911564324
Chi1v,12.656929911564324
Chi2n,10.116447059148067
Chi2v,10.116447059148067
Chi3n,8.280489364953043
Chi3v,8.280489364953043
Chi4n,6.323253841613472
Chi4v,6.323253841613472
MolMR,129.97580000000002
MolWt,451.61500000000024
fr_SH,0
Kappa1,22.414092901356018
Kappa2,9.468474881442457
Kappa3,4.169085256928148
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,1
fr_NH1,4
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,997.4836248026463
MolLogP,2.497200000000001
NOCount,7
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,1.4155883696457094
SMR_VSA1,9.589074368143644
SMR_VSA2,0.0
SMR_VSA3,25.83425406381668
SMR_VSA4,5.917906046161393
SMR_VSA5,75.53393629999994
SMR_VSA6,20.13718479450234
SMR_VSA7,36.02576333715651
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,2
fr_azide,0
fr_diazo,0
fr_ester,0
fr_ether,0
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,195.6061570919127
NHOHCount,4
PEOE_VSA1,25.83425406381668
PEOE_VSA2,9.589074368143644
PEOE_VSA3,0.0
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,37.46156607416286
PEOE_VSA7,50.78159865746585
PEOE_VSA8,42.14902819082864
PEOE_VSA9,12.083681658295921
RingCount,5
SMR_VSA10,22.71728439078407
fr_Al_COO,0
fr_Ar_COO,0
fr_ketone,0
fr_lactam,0
fr_phenol,0
ExactMolWt,451.29472542400003
NumHDonors,4
PEOE_VSA10,6.041840829147961
PEOE_VSA11,0.0
PEOE_VSA12,11.814359458703011
PEOE_VSA13,0.0
PEOE_VSA14,0.0
SlogP_VSA1,15.950365812018994
SlogP_VSA2,66.00279582159487
