DLiP-ID,P00054
DLiP-Mol-ID,23319
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C9H11NO3/c1-3-8(11)6-4-7(10-5-6)9(12)13-2/h4-5,10H,3H2,1-2H3"
Standard Inchi Key(RDKit),GMDIDIYLWBUNEW-UHFFFAOYSA-N
Canonical SMILES(RDKit),CCC(=O)c1c[nH]c(C(=O)OC)c1
SMILES(SDF),
MW(SDF),
MW(RDKit),181.191
MW Monoisotopic(RDKit),181.073893212
MolLogP(RDKit),1.394
XLogP(SDF),
XLogP(CDK),1.245
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),59.16
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),1
Aromatic Rings(RDKit),1
nAtoms(SDF),
Heavy Atoms(RDKit),13
QED Weighted(RDKit),0.565908430238451
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,BAZ2B/H4
Common Target Pref Name,BAZ2B/H4
RDKit Descriptors
Ipc,1142.5097843223075
qed,0.5659084302384509
Chi0,9.844934982691242
Chi1,6.185070510202193
TPSA,59.16
Chi0n,7.586552190957389
Chi0v,7.586552190957389
Chi1n,3.985981436318731
Chi1v,3.985981436318731
Chi2n,2.5703409873489917
Chi2v,2.5703409873489917
Chi3n,1.7314108486789748
Chi3v,1.7314108486789748
Chi4n,0.9872570818488022
Chi4v,0.9872570818488022
MolMR,46.75370000000002
MolWt,181.19099999999997
fr_SH,0
Kappa1,9.50756567425569
Kappa2,3.8886672016230377
Kappa3,1.9588151342591165
fr_ArN,0
fr_COO,0
fr_C_O,2
fr_C_S,0
fr_NH0,0
fr_NH1,1
fr_NH2,0
fr_N_O,0
fr_azo,0
BertzCT,296.8557342623845
MolLogP,1.3940000000000001
NOCount,4
fr_Ar_N,1
fr_COO2,0
fr_urea,0
BalabanJ,2.8620670506634016
SMR_VSA1,14.325937321943693
SMR_VSA2,0.0
SMR_VSA3,4.9839785209472085
SMR_VSA4,0.0
SMR_VSA5,13.344558822616634
SMR_VSA6,7.109797541277533
SMR_VSA7,23.520590126620142
SMR_VSA8,0.0
SMR_VSA9,0.0
fr_Al_OH,0
fr_Ar_NH,1
fr_Ar_OH,0
fr_HOCCN,0
fr_Imine,0
fr_amide,0
fr_azide,0
fr_diazo,0
fr_ester,1
fr_ether,1
fr_furan,0
fr_imide,0
fr_nitro,0
fr_oxime,0
fr_quatN,0
LabuteASA,75.90186354208872
NHOHCount,1
PEOE_VSA1,9.720841474747257
PEOE_VSA2,4.794537184071822
PEOE_VSA3,4.794537184071822
PEOE_VSA4,0.0
PEOE_VSA5,0.0
PEOE_VSA6,6.923737199690624
PEOE_VSA7,6.06636706846161
PEOE_VSA8,18.18111668623608
PEOE_VSA9,7.109797541277533
RingCount,1
SMR_VSA10,11.75255023431679
fr_Al_COO,0
