DLiP-ID,C001OA
DLiP-Mol-ID,32670
Vendor-ID,
Standard Inchi(RDKit),"InChI=1S/C17H14N2O2/c1-12-15(17(20)21)16(13-8-4-2-5-9-13)18-19(12)14-10-6-3-7-11-14/h2-11H,1H3,(H,20,21)"
Standard Inchi Key(RDKit),FWIYNXGMTSTQBJ-UHFFFAOYSA-N
Canonical SMILES(RDKit),Cc1c(C(=O)O)c(-c2ccccc2)nn1-c1ccccc1
SMILES(SDF),
MW(SDF),
MW(RDKit),278.311
MW Monoisotopic(RDKit),278.105527688
MolLogP(RDKit),3.54592
XLogP(SDF),
XLogP(CDK),3.79
ALogP(SDF),
Num H Acceptors(SDF),
nHAcceptors(SDF),
HBA(RDKit),3
HBA Lipinski(RDKit),4
Num H Donors(SDF),
nHDonors(SDF),
HBD(RDKit),1
HBD Lipinski(RDKit),1
PSA(SDF),
PSA(RDKit),55.12
RO3 Pass,
Num RO5 Violations,0
Num Lipinski RO5 Violations,0
nBonds(SDF),
nRigidBonds(SDF),
nRotatableBonds(SDF),
nRotatableBonds(RDKit),3
nRings(SDF),
nRings(RDKit),3
Aromatic Rings(RDKit),3
nAtoms(SDF),
Heavy Atoms(RDKit),21
QED Weighted(RDKit),0.796796339649585
Molecular Formula(SDF),
PPI Type(SDF),
PDB ID(SDF),
Receptor Chain(SDF),
Protein Name Receptor(SDF),
Peptide Chain(SDF),
Protein Name Peptide(SDF),
ELM ID(SDF),
Motif Sequence(SDF),
Physical Form Apperance(SDF),
Quantity of Sample mg(SDF),
Box Num(SDF),
Box Position(SDF),
fCsp3(SDF),
nCarbons(SDF),
nHetAtoms(SDF),
nHalide(SDF),
Year(SDF),
No(SDF),
Target Pref Name,Menin/Histone-lysine N-methyltransferase MLL
Common Target Pref Name,MENIN/MLL
RDKit Descriptors
Ipc,97838.00829179474
qed,0.796796339649585
Chi0,14.819626477379408
Chi1,10.181540550352056
TPSA,55.12
Chi0n,11.52339176886
Chi0v,11.52339176886
Chi1n,6.619918541277766
Chi1v,6.619918541277766
Chi2n,4.727547520379646
Chi2v,4.727547520379646
Chi3n,3.3781665469665105
Chi3v,3.3781665469665105
Chi4n,2.3769718424392043
Chi4v,2.3769718424392043
MolMR,80.69630000000004
MolWt,278.31100000000004
fr_SH,0
